,Rank,Name,Age,Team,Positions,Value
55,56.0,Mikal Bridges,28.2,NY,"SG,SF,PF",4881.642263342668
56,57.0,Anfernee Simons,25.5,POR,"PG,SG",4843.446346929635
57,58.0,Jalen Duren,21.0,DET,C,4805.91474110827
58,59.0,Deandre Ayton,26.3,POR,C,4769.024732716933
59,60.0,Josh Giddey,22.1,CHI,"PG,SG,SF",4732.754753906072
60,61.0,Kristaps Porzingis,29.3,BOS,"PF,C",4697.084306406192
61,62.0,Brandon Ingram,27.2,NO,"SG,SF,PF",4661.993891953749
62,63.0,OG Anunoby,27.4,NY,"SF,PF",4627.464948283712
63,64.0,Walker Kessler,23.3,UTA,C,4593.47979016273
64,65.0,Dyson Daniels,21.7,ATL,"PG,SG",4560.021554993942
65,66.0,Alexandre Sarr,19.6,WAS,"PF,C",4527.0741525746125
66,67.0,Ausar Thompson,21.8,DET,"SF,PF",4494.622218631801
67,68.0,Jalen Suggs,23.5,ORL,"PG,SG",4462.6510718002555
68,69.0,Bilal Coulibaly,20.3,WAS,"SG,SF",4431.146673740945
69,70.0,Coby White,24.8,CHI,"PG,SG",4400.09559212905
70,71.0,Jonathan Kuminga,22.1,GS,"SF,PF",4369.484966267231
71,72.0,Trey Murphy III,24.4,NO,"SF,PF",4339.302475103772
72,73.0,Dereck Lively II,20.8,DAL,C,4309.536307456603
73,74.0,Rudy Gobert,32.4,MIN,C,4280.175134263094
74,75.0,Onyeka Okongwu,24.0,ATL,"PF,C",4251.208082692454
75,76.0,Donovan Clingan,20.8,POR,C,4222.624711972674
76,77.0,Mark Williams,22.9,CHA,C,4194.41499079759
77,78.0,Scoot Henderson,20.8,POR,PG,4166.569276191643
78,79.0,Jalen Green,22.8,HOU,"PG,SG",4139.078293720957
79,80.0,Keyonte George,21.1,UTA,"PG,SG",4111.933118949111
80,81.0,Tari Eason,23.6,HOU,"SF,PF",4085.125160044814
81,82.0,Keegan Murray,24.3,SAC,"SF,PF",4058.646141456682
82,83.0,Austin Reaves,26.5,LAL,"PG,SG",4032.4880885774764
83,84.0,Shaedon Sharpe,21.5,POR,"SG,SF",4006.643313326753
84,85.0,Reed Sheppard,20.4,HOU,SG,3981.104400586637
85,86.0,Derrick White,30.4,BOS,"PG,SG",3955.864195430917
86,87.0,Miles Bridges,26.7,CHA,"SF,PF",3930.915791092353
87,88.0,LeBron James,39.9,LAL,"SF,PF",3906.2525176176496
88,89.0,RJ Barrett,24.5,TOR,"SF,PF",3881.8679311634187
89,90.0,Jimmy Butler,35.2,MIA,"SF,PF",3857.7558038901534
90,91.0,Ivica Zubac,27.7,LAC,C,3833.9101144146243
91,92.0,Kawhi Leonard,33.4,LAC,"SG,SF,PF",3810.3250387839835
92,93.0,Jeremy Sochan,21.5,SA,"SF,PF",3786.9949419378318
93,94.0,Zaccharie Risacher,19.6,ATL,SF,3763.9143696268493
94,95.0,Jabari Smith Jr.,21.5,HOU,"PF,C",3741.0780407590555
95,96.0,Naz Reid,25.3,MIN,"PF,C",3718.4808401468126
96,97.0,Zach LaVine,29.7,CHI,"SG,SF",3696.117811629638
97,98.0,Bennedict Mathurin,22.4,IND,"SG,SF",3673.98415154973
98,99.0,Cam Thomas,23.1,BKN,"SG,SF",3652.0752025586935
99,100.0,Christian Braun,23.6,DEN,"SG,SF",3630.386447735491
100,101.0,Julius Randle,30.0,MIN,PF,3608.9135049970737
101,102.0,Jrue Holiday,34.5,BOS,"PG,SG",3587.65212178434
102,103.0,Zach Edey,22.5,MEM,C,3566.598170007337
103,104.0,Stephon Castle,20.1,SA,"PG,SG",3545.7476412346823
104,105.0,Jared McCain,20.8,PHI,"PG,SG",3525.0966421131343
105,106.0,Kyshawn George,21.0,WAS,"SG,SF",3504.6413900042808
106,107.0,DeMar DeRozan,35.3,SAC,"SF,PF",3484.3782088260887
107,108.0,Kyle Kuzma,29.3,WAS,PF,3464.3035250878547
108,109.0,Taylor Hendricks,21.0,UTA,"SF,PF",3444.4138641079116
109,110.0,Brandin Podziemski,21.8,GS,SG,3424.705846404031
110,111.0,Collin Sexton,25.9,UTA,"PG,SG",3405.1761842471788
111,112.0,Dalton Knecht,23.6,LAL,SG,3385.8216783697917
112,113.0,Ron Holland II,19.4,DET,SF,3366.639214820394
113,114.0,Herbert Jones,26.1,NO,"SF,PF",3347.625761956755
114,115.0,Deni Avdija,23.9,POR,"SF,PF",3328.778367570365
115,116.0,Carlton Carrington,19.4,WAS,"PG,SG",3310.094156135392
116,117.0,Rob Dillingham,19.9,MIN,PG,3291.5703261757244
117,118.0,Nikola Topic,19.3,OKC,PG,3273.2041477440544
118,119.0,Bradley Beal,31.4,PHO,"PG,SG,SF",3254.9929600073174
119,120.0,Michael Porter Jr.,26.4,DEN,"SF,PF",3236.9341689331923
120,121.0,Isaiah Hartenstein,26.6,OKC,C,3219.025245072571
121,122.0,Jakob Poeltl,29.1,TOR,C,3201.2637214333135
122,123.0,D'Angelo Russell,28.8,LAL,PG,3183.647191440765
123,124.0,Jaden Ivey,22.8,DET,"PG,SG",3166.1733069808706
124,125.0,Donte DiVincenzo,27.8,MIN,"SG,SF",3148.8397765218724
125,126.0,Cameron Johnson,28.7,BKN,"SF,PF",3131.644363310834
126,127.0,Trayce Jackson-Davis,24.8,GS,"PF,C",3114.5848836414607
127,128.0,Cam Whitmore,20.4,HOU,"SF,PF",3097.6592051898515
128,129.0,CJ McCollum,33.2,NO,"PG,SG",3080.8652454149997
129,130.0,Jaime Jaquez Jr.,23.8,MIA,SF,3064.2009700210638
130,131.0,Cason Wallace,21.1,OKC,"PG,SG",3047.6643914785527
131,132.0,Nikola Vucevic,34.1,CHI,"PF,C",3031.253567601734
132,133.0,Josh Hart,29.7,NY,"SF,PF",3014.966600179736
133,134.0,Kyle Filipowski,21.1,UTA,"PF,C",2998.8016336589226
134,135.0,Wendell Carter Jr.,25.6,ORL,C,2982.756853874236
135,136.0,Daniel Gafford,26.2,DAL,"PF,C",2966.830486827377
136,137.0,Tobias Harris,32.4,DET,"SF,PF",2951.0207975097255
137,138.0,John Collins,27.2,UTA,"PF,C",2935.3260887680644
138,139.0,Gradey Dick,21.0,TOR,"SG,SF",2919.744700211273
139,140.0,Jerami Grant,30.7,POR,"SF,PF",2904.275007156173
140,141.0,Aaron Nesmith,25.1,IND,"SF,PF",2888.9154196109303
141,142.0,Kel'el Ware,20.6,MIA,C,2873.664381294353
142,143.0,Tidjane Salaun,19.3,CHA,PF,2858.5203686896057
143,144.0,Devin Carter,22.7,SAC,PG,2843.4818901308936
144,145.0,Jarace Walker,21.2,IND,PF,2828.5474849217735
145,146.0,Clint Capela,30.5,ATL,C,2813.7157224837247
146,147.0,Matas Buzelis,20.1,CHI,SF,2798.9852015338147
147,148.0,Terry Rozier,30.7,MIA,PG,2784.3545492902176
148,149.0,Ben Simmons,28.4,BKN,"PG,C",2769.8224207045005
149,150.0,Jonathan Isaac,27.2,ORL,"SF,PF",2755.3874977195737
150,151.0,Norman Powell,31.5,LAC,"SG,SF",2741.0484885523038
151,152.0,Alex Caruso,30.7,OKC,"SG,SF",2726.8041269997957
152,153.0,Khris Middleton,33.3,MIL,SF,2712.653171768421
153,154.0,Marcus Smart,30.7,MEM,"PG,SG",2698.5944058247114
154,155.0,Malik Monk,26.8,SAC,"SG,SF",2684.626635767252
155,156.0,Noah Clowney,20.4,BKN,"SF,PF,C",2670.748691218765
156,157.0,De'Andre Hunter,27.0,ATL,"SF,PF",2656.9594242376297
157,158.0,Yves Missi,20.5,NO,C,2643.2577087480768
158,159.0,Scotty Pippen Jr.,24.0,MEM,"PG,SG",2629.6424399883635
159,160.0,Anthony Black,20.9,ORL,"PG,SG",2616.112533976233
160,161.0,Keon Ellis,24.9,SAC,"SG,SF",2602.6669269910453
161,162.0,Jaden McDaniels,24.2,MIN,"SF,PF",2589.3045750719375
162,163.0,Patrick Williams,23.3,CHI,PF,2576.0244535314087
163,164.0,Nikola Jovic,21.5,MIA,"PF,C",2562.825556483802
164,165.0,Andrew Nembhard,24.9,IND,"PG,SG",2549.7068963881156
165,166.0,Miles McBride,24.2,NY,"PG,SG",2536.6675036045963
166,167.0,Tre Jones,24.9,SA,PG,2523.7064259647086
167,168.0,Mitchell Robinson,26.7,NY,C,2510.8227283538745
168,169.0,Peyton Watson,22.2,DEN,"SF,PF",2498.0154923066366
169,170.0,Ryan Dunn,21.9,PHO,SF,2485.2838156137586
170,171.0,Ayo Dosunmu,24.9,CHI,"SG,SF",2472.626811940838
171,172.0,Robert Williams III,27.1,POR,C,2460.0436104580385
172,173.0,Nick Richards,27.0,CHA,C,2447.5333554805584
173,174.0,Jusuf Nurkic,30.3,PHO,C,2435.095206119475
174,175.0,Tyus Jones,28.6,PHO,PG,2422.728335942553
175,176.0,Draymond Green,34.7,GS,"PF,C",2410.431932644773
176,177.0,P.J. Washington,26.3,DAL,PF,2398.205197728137
177,178.0,Jaylen Wells,21.3,MEM,SF,2386.0473461905385
178,179.0,Max Christie,21.8,LAL,"SG,SF",2373.9576062233227
179,180.0,Jalen Smith,24.7,CHI,"PF,C",2361.935218917275
180,181.0,Keldon Johnson,25.1,SA,"SG,SF,PF",2349.9794379767627
181,182.0,De'Anthony Melton,26.5,GS,"PG,SG",2338.089529441744
182,183.0,Cole Anthony,24.5,ORL,PG,2326.2647714173945
183,184.0,Rui Hachimura,26.8,LAL,"SF,PF",2314.504453811105
184,185.0,Isaiah Stewart,23.5,DET,"PF,C",2302.807878076599
185,186.0,Payton Pritchard,26.8,BOS,PG,2291.1743569649534
186,187.0,Kevin Huerter,26.3,SAC,"SG,SF",2279.6032142822987
187,188.0,Moses Moody,22.5,GS,"SG,SF",2268.093784653971
188,189.0,Grayson Allen,29.1,PHO,"PG,SG",2256.6454132949166
189,190.0,Gary Trent Jr.,25.9,MIL,"PG,SG",2245.257455786177
190,191.0,Jonas Valanciunas,32.6,WAS,C,2233.9292778572126
191,192.0,Dennis Schröder,31.2,BKN,PG,2222.6602551739325
192,193.0,Josh Green,24.0,CHA,"SG,SF",2211.4497731322117
193,194.0,Cody Williams,20.0,UTA,SF,2200.2972266567594
194,195.0,Vince Williams Jr.,24.2,MEM,"PG,SG,SF",2189.2020200051466
195,196.0,Tre Mann,23.8,CHA,"PG,SG",2178.1635665768536
196,197.0,Bruce Brown,28.3,TOR,"SG,SF",2167.18128872717
197,198.0,Isaiah Joe,25.4,OKC,"PG,SG",2156.254617585815
198,199.0,Brook Lopez,36.7,MIL,C,2145.3829928801133
199,200.0,Davion Mitchell,26.2,TOR,"PG,SG",2134.5658627626144
200,201.0,Jordan Hawkins,22.6,NO,SG,2123.8026836430035
201,202.0,Buddy Hield,31.9,GS,"SG,SF",2113.0929200241953
202,203.0,Toumani Camara,24.6,POR,"SF,PF",2102.436044342454
203,204.0,Julian Strawther,22.6,DEN,SG,2091.831536811462
204,205.0,Isaiah Collier,20.1,UTA,PG,2081.2788852701833
205,206.0,Moussa Diabaté,22.9,CHA,C,2070.7775850344588
206,207.0,DaRon Holmes II,22.3,DEN,PF,2060.327138752149
207,208.0,Isaac Okoro,23.8,CLE,"SF,PF",2049.927056261804
208,209.0,Caris LeVert,30.3,CLE,"SG,SF",2039.5768544547172
209,210.0,Precious Achiuwa,25.2,NY,"PF,C",2029.276057140256
210,211.0,Johnny Furphy,20.0,IND,SG,2019.0241949144001
211,212.0,Bobi Klintman,21.7,DET,PF,2008.8208050314024
212,213.0,Nikola Djurisic,20.8,ATL,SF,1998.6654312784358
213,214.0,Andrew Wiggins,29.8,GS,"SF,PF",1988.5576238532103
214,215.0,Duncan Robinson,30.6,MIA,"SG,SF",1978.49693924442
215,216.0,Bogdan Bogdanovic,32.3,ATL,"SG,SF",1968.4829401149746
216,217.0,Tristan Da Silva,23.5,ORL,SF,1958.5151951879325
217,218.0,Aaron Gordon,29.2,DEN,"PF,C",1948.5932791350333
218,219.0,Corey Kispert,25.7,WAS,"SG,SF",1938.7167724678075
219,220.0,Day'Ron Sharpe,23.1,BKN,C,1928.8852614311527
220,221.0,Jaylon Tyson,22.0,CLE,SG,1919.0983378993315
221,222.0,Karlo Matkovic,23.7,NO,PF,1909.3555992742986
222,223.0,Caleb Martin,29.2,PHI,"SG,SF",1899.6566483863407
223,224.0,Malcolm Brogdon,32.0,WAS,"PG,SG",1890.0010933969133
224,225.0,Daniel Theis,32.6,NO,C,1880.3885477036565
225,226.0,GG Jackson II,19.9,MEM,"SF,PF",1870.8186298475157
226,227.0,Brandon Clarke,28.2,MEM,"PF,C",1861.290963421905
227,228.0,Julian Champagnie,23.4,SA,"SF,PF",1851.8051769838767
228,229.0,Kevin Porter Jr.,24.6,LAC,PG,1842.3609039672228
229,230.0,Kelly Oubre Jr.,29.0,PHI,"SG,SF",1832.9577825974866
230,231.0,Obi Toppin,26.7,IND,PF,1823.595455808796
231,232.0,Jay Huff,27.3,MEM,C,1814.2735711625137
232,233.0,Andre Jackson Jr.,23.0,MIL,"SG,SF",1804.9917807676302
233,234.0,James Wiseman,23.7,IND,C,1795.749741202846
234,235.0,Leonard Miller,21.0,MIN,PF,1786.5471134403524
235,236.0,Sam Hauser,27.0,BOS,"SF,PF",1777.3835627711742
236,237.0,Marvin Bagley III,25.7,WAS,"PF,C",1768.2587587321595
237,238.0,Nickeil Alexander-Walker,26.2,MIN,"SG,SF",1759.172375034439
238,239.0,Max Strus,28.7,CLE,"SG,SF",1750.1240894934363
239,240.0,Tyler Smith,20.1,MIL,PF,1741.113583960314
240,241.0,Jonathan Mogbo,23.1,TOR,PF,1732.1405442548476
241,242.0,Brice Sensabaugh,21.1,UTA,"SF,PF",1723.2046600996928
242,243.0,Malaki Branham,21.5,SA,"PG,SG",1714.3056250560203
243,244.0,Marcus Sasser,24.2,DET,PG,1705.4431364604334
244,245.0,Kobe Bufkin,21.2,ATL,"PG,SG",1696.6168953632332
245,246.0,Paul Reed,25.5,DET,"PF,C",1687.8266064678864
246,247.0,Isaiah Jackson,22.9,IND,"PF,C",1679.0719780717482
247,248.0,Terance Mann,28.1,LAC,"SG,SF",1670.3527220079923
248,249.0,Zach Collins,27.0,SA,"PF,C",1661.6685535886809
249,250.0,Matisse Thybulle,27.7,POR,"SG,SF",1653.0191915489959
250,251.0,Jordan Clarkson,32.5,UTA,"SG,SF",1644.4043579925783
251,252.0,Klay Thompson,34.8,DAL,"SG,SF",1635.8237783379554
252,253.0,Dillon Brooks,28.8,HOU,"SG,SF",1627.2771812660267
253,254.0,Jake LaRavia,23.1,MEM,"SF,PF",1618.7642986685823
254,255.0,Jarred Vanderbilt,25.7,LAL,PF,1610.2848655978432
255,256.0,Lonzo Ball,27.1,CHI,PG,1601.8386202169731
256,257.0,Ziaire Williams,23.2,BKN,"SG,SF",1593.4253037515755
257,258.0,Ja'Kobe Walter,20.2,TOR,SG,1585.0446604421213
258,259.0,Pacome Dadiet,19.3,NY,SF,1576.6964374972795
259,260.0,Baylor Scheierman,24.2,BOS,SG,1568.3803850481854
260,261.0,AJ Johnson,22.0,MIL,SG,1560.0962561035558
261,262.0,T.J. McConnell,32.7,IND,PG,1551.8438065056744
262,263.0,Ben Sheppard,23.4,IND,"SG,SF",1543.6227948872074
263,264.0,Jabari Walker,22.3,POR,"SF,PF",1535.4329826288558
264,265.0,Jose Alvarado,26.6,NO,PG,1527.2741338177839
265,266.0,Goga Bitadze,25.4,ORL,C,1519.1460152068576
266,267.0,Saddiq Bey,25.6,WAS,"SF,PF",1511.0483961746213
267,268.0,Kris Murray,24.3,POR,"SF,PF",1502.9810486860442
268,269.0,Russell Westbrook,36.0,DEN,PG,1494.9437472539794
269,270.0,Bobby Portis,29.8,MIL,"PF,C",1486.936268901356
270,271.0,AJ Griffin,21.3,HOU,"SF,PF",1478.9583931240632
271,272.0,Luguentz Dort,25.6,OKC,"SG,SF",1471.0099018544988
272,273.0,Jaden Hardy,22.4,DAL,"PG,SG",1463.090579425827
273,274.0,MarJon Beauchamp,24.1,MIL,"SG,SF",1455.2002125368472
274,275.0,Andre Drummond,31.3,PHI,C,1447.3385902175341
275,276.0,Brandon Boston Jr,23.0,NO,"SG,SF",1439.505503795188
276,277.0,Neemias Queta,25.4,BOS,C,1431.7007468611937
277,278.0,Kelly Olynyk,33.6,TOR,C,1423.9241152383947
278,279.0,Chris Paul,39.6,SA,PG,1416.1754069490362
279,280.0,Grant Williams,26.0,CHA,"PF,C",1408.4544221832948
280,281.0,Kyle Anderson,31.2,GS,"SF,PF",1400.7609632683561
281,282.0,Ulrich Chomche,18.9,TOR,PF,1393.094834638052
282,283.0,Adem Bona,21.7,PHI,C,1385.4558428030377
283,284.0,Eric Gordon,35.9,PHI,"SG,SF",1377.8437963214747
284,285.0,Tim Hardaway Jr.,32.7,DET,"SG,SF",1370.2585057702581
285,286.0,Moritz Wagner,27.6,ORL,C,1362.6997837167255
