Unnamed: 0,Rank,Name,Age,Team,Positions,Value,original_key
134,135.0,Wendell Carter Jr.,25.6,ORL,C,2982.756853874236,1883
135,136.0,Daniel Gafford,26.2,DAL,"PF,C",2966.830486827377,1997
136,137.0,Tobias Harris,32.4,DET,"SF,PF",2951.020797509725,1487
137,138.0,John Collins,27.2,UTA,"PF,C",2935.3260887680644,1809
138,139.0,Gradey Dick,21.0,TOR,"SG,SF",2919.744700211273,2578
139,140.0,Jerami Grant,30.7,POR,"SF,PF",2904.275007156173,1512
140,141.0,Aaron Nesmith,25.1,IND,"SF,PF",2888.9154196109303,2144
141,142.0,Kel'el Ware,20.6,MIA,C,2873.664381294353,2726
142,143.0,Tidjane Salaun,19.3,CHA,PF,2858.5203686896057,2736
143,144.0,Devin Carter,22.7,SAC,PG,2843.4818901308936,2729
144,145.0,Jarace Walker,21.2,IND,PF,2828.547484921773,2563
145,146.0,Clint Capela,30.5,ATL,C,2813.7157224837247,1541
146,147.0,Matas Buzelis,20.1,CHI,SF,2798.9852015338147,2835
147,148.0,Terry Rozier,30.7,MIA,PG,2784.3545492902176,1632
148,149.0,Ben Simmons,28.4,BKN,"PG,C",2769.8224207045005,1676
149,150.0,Jonathan Isaac,27.2,ORL,"SF,PF",2755.3874977195737,1879
150,151.0,Norman Powell,31.5,LAC,"SG,SF",2741.048488552304,1637
151,152.0,Alex Caruso,30.7,OKC,"SG,SF",2726.804126999796,1801
152,153.0,Khris Middleton,33.3,MIL,SF,2712.653171768421,1378
153,154.0,Marcus Smart,30.7,MEM,"PG,SG",2698.5944058247114,1546
154,155.0,Malik Monk,26.8,SAC,"SG,SF",2684.626635767252,1779
155,156.0,Noah Clowney,20.4,BKN,"SF,PF,C",2670.748691218765,2571
156,157.0,De'Andre Hunter,27.0,ATL,"SF,PF",2656.9594242376297,2050
157,158.0,Yves Missi,20.5,NO,C,2643.2577087480768,2720
158,159.0,Scotty Pippen Jr.,24.0,MEM,"PG,SG",2629.6424399883635,2416
159,160.0,Anthony Black,20.9,ORL,"PG,SG",2616.112533976233,2590
160,161.0,Keon Ellis,24.9,SAC,"SG,SF",2602.6669269910453,2432
161,162.0,Jaden McDaniels,24.2,MIN,"SF,PF",2589.304575071937,2135
162,163.0,Patrick Williams,23.3,CHI,PF,2576.0244535314087,2118
163,164.0,Nikola Jovic,21.5,MIA,"PF,C",2562.825556483802,2480
164,165.0,Andrew Nembhard,24.9,IND,"PG,SG",2549.706896388116,2461
165,166.0,Miles McBride,24.2,NY,"PG,SG",2536.6675036045963,2256
166,167.0,Tre Jones,24.9,SA,PG,2523.7064259647086,2145
167,168.0,Mitchell Robinson,26.7,NY,C,2510.8227283538745,1887
168,169.0,Peyton Watson,22.2,DEN,"SF,PF",2498.0154923066366,2454
169,170.0,Ryan Dunn,21.9,PHO,SF,2485.283815613758,2710
170,171.0,Ayo Dosunmu,24.9,CHI,"SG,SF",2472.626811940838,2255
171,172.0,Robert Williams III,27.1,POR,C,2460.0436104580385,1950
172,173.0,Nick Richards,27.0,CHA,C,2447.5333554805584,2141
173,174.0,Jusuf Nurkic,30.3,PHO,C,2435.095206119475,1583
174,175.0,Tyus Jones,28.6,PHO,PG,2422.728335942553,1614
175,176.0,Draymond Green,34.7,GS,"PF,C",2410.431932644773,1082
176,177.0,P.J. Washington,26.3,DAL,PF,2398.205197728137,2029
177,178.0,Jaylen Wells,21.3,MEM,SF,2386.0473461905385,2753
178,179.0,Max Christie,21.8,LAL,"SG,SF",2373.9576062233227,2468
179,180.0,Jalen Smith,24.7,CHI,"PF,C",2361.935218917275,2156
180,181.0,Keldon Johnson,25.1,SA,"SG,SF,PF",2349.9794379767627,2065
181,182.0,De'Anthony Melton,26.5,GS,"PG,SG",2338.089529441744,1972
182,183.0,Cole Anthony,24.5,ORL,PG,2326.2647714173945,2165
183,184.0,Rui Hachimura,26.8,LAL,"SF,PF",2314.504453811105,2020
184,185.0,Isaiah Stewart,23.5,DET,"PF,C",2302.807878076599,2159
185,186.0,Payton Pritchard,26.8,BOS,PG,2291.1743569649534,2142
186,187.0,Kevin Huerter,26.3,SAC,"SG,SF",2279.6032142822987,1941
187,188.0,Moses Moody,22.5,GS,"SG,SF",2268.093784653971,2262
188,189.0,Grayson Allen,29.1,PHO,"PG,SG",2256.6454132949166,1959
189,190.0,Gary Trent Jr.,25.9,MIL,"PG,SG",2245.257455786177,1982
190,191.0,Jonas Valanciunas,32.6,WAS,C,2233.9292778572126,1319
191,192.0,Dennis Schröder,31.2,BKN,PG,2222.6602551739325,1254
192,193.0,Josh Green,24.0,CHA,"SG,SF",2211.449773132212,2155
193,194.0,Cody Williams,20.0,UTA,SF,2200.2972266567594,2725
194,195.0,Vince Williams Jr.,24.2,MEM,"PG,SG,SF",2189.2020200051466,2466
195,196.0,Tre Mann,23.8,CHA,"PG,SG",2178.1635665768536,2297
196,197.0,Bruce Brown,28.3,TOR,"SG,SF",2167.18128872717,1909
197,198.0,Isaiah Joe,25.4,OKC,"PG,SG",2156.254617585815,2125
198,199.0,Brook Lopez,36.7,MIL,C,2145.3829928801133,1178
199,200.0,Davion Mitchell,26.2,TOR,"PG,SG",2134.5658627626144,2301
200,201.0,Jordan Hawkins,22.6,NO,SG,2123.8026836430035,2576
201,202.0,Buddy Hield,31.9,GS,"SG,SF",2113.092920024196,1707
202,203.0,Toumani Camara,24.6,POR,"SF,PF",2102.436044342454,2613
203,204.0,Julian Strawther,22.6,DEN,SG,2091.831536811462,2589
204,205.0,Isaiah Collier,20.1,UTA,PG,2081.2788852701838,2724
205,206.0,Moussa Diabaté,22.9,CHA,C,2070.7775850344588,2474
206,207.0,DaRon Holmes II,22.3,DEN,PF,2060.327138752149,2730
207,208.0,Isaac Okoro,23.8,CLE,"SF,PF",2049.927056261804,2120
208,209.0,Caris LeVert,30.3,CLE,"SG,SF",2039.5768544547168,1690
209,210.0,Precious Achiuwa,25.2,NY,"PF,C",2029.276057140256,2152
210,211.0,Johnny Furphy,20.0,IND,SG,2019.0241949144,2744
211,212.0,Bobi Klintman,21.7,DET,PF,2008.8208050314024,2837
212,213.0,Nikola Djurisic,20.8,ATL,SF,1998.665431278436,
213,214.0,Andrew Wiggins,29.8,GS,"SF,PF",1988.5576238532103,1525
214,215.0,Duncan Robinson,30.6,MIA,"SG,SF",1978.49693924442,1961
215,216.0,Bogdan Bogdanovic,32.3,ATL,"SG,SF",1968.4829401149743,1871
216,217.0,Tristan Da Silva,23.5,ORL,SF,1958.5151951879325,2711
217,218.0,Aaron Gordon,29.2,DEN,"PF,C",1948.5932791350333,1585
218,219.0,Corey Kispert,25.7,WAS,"SG,SF",1938.7167724678077,2266
219,220.0,Day'Ron Sharpe,23.1,BKN,C,1928.885261431153,2275
220,221.0,Jaylon Tyson,22.0,CLE,SG,1919.0983378993317,2712
221,222.0,Karlo Matkovic,23.7,NO,PF,1909.3555992742984,2490
222,223.0,Caleb Martin,29.2,PHI,"SG,SF",1899.6566483863407,2028
223,224.0,Malcolm Brogdon,32.0,WAS,"PG,SG",1890.0010933969131,1727
224,225.0,Daniel Theis,32.6,NO,C,1880.3885477036565,1824
225,226.0,GG Jackson II,19.9,MEM,"SF,PF",1870.818629847516,2603
226,227.0,Brandon Clarke,28.2,MEM,"PF,C",1861.290963421905,2041
227,228.0,Julian Champagnie,23.4,SA,"SF,PF",1851.805176983877,2494
228,229.0,Kevin Porter Jr.,24.6,LAC,PG,1842.3609039672228,2009
229,230.0,Kelly Oubre Jr.,29.0,PHI,"SG,SF",1832.9577825974864,1604
230,231.0,Obi Toppin,26.7,IND,PF,1823.595455808796,2119
231,232.0,Jay Huff,27.3,MEM,C,1814.2735711625137,2335
232,233.0,Andre Jackson Jr.,23.0,MIL,"SG,SF",1804.9917807676304,2611
233,234.0,James Wiseman,23.7,IND,C,1795.749741202846,2122
234,235.0,Leonard Miller,21.0,MIN,PF,1786.5471134403524,2621
235,236.0,Sam Hauser,27.0,BOS,"SF,PF",1777.3835627711742,2329
236,237.0,Marvin Bagley III,25.7,WAS,"PF,C",1768.2587587321595,1986
237,238.0,Nickeil Alexander-Walker,26.2,MIN,"SG,SF",1759.172375034439,2055
238,239.0,Max Strus,28.7,CLE,"SG,SF",1750.1240894934365,1999
239,240.0,Tyler Smith,20.1,MIL,PF,1741.113583960314,2769
240,241.0,Jonathan Mogbo,23.1,TOR,PF,1732.1405442548476,2763
241,242.0,Brice Sensabaugh,21.1,UTA,"SF,PF",1723.2046600996928,2581
242,243.0,Malaki Branham,21.5,SA,"PG,SG",1714.3056250560203,2452
243,244.0,Marcus Sasser,24.2,DET,PG,1705.4431364604334,2567
244,245.0,Kobe Bufkin,21.2,ATL,"PG,SG",1696.6168953632332,2575
245,246.0,Paul Reed,25.5,DET,"PF,C",1687.8266064678864,2128
246,247.0,Isaiah Jackson,22.9,IND,"PF,C",1679.0719780717482,2260
247,248.0,Terance Mann,28.1,LAC,"SG,SF",1670.3527220079925,2074
248,249.0,Zach Collins,27.0,SA,"PF,C",1661.6685535886809,1866
249,250.0,Matisse Thybulle,27.7,POR,"SG,SF",1653.019191548996,2017
250,251.0,Jordan Clarkson,32.5,UTA,"SG,SF",1644.4043579925783,1534
251,252.0,Klay Thompson,34.8,DAL,"SG,SF",1635.8237783379554,1081
252,253.0,Dillon Brooks,28.8,HOU,"SG,SF",1627.277181266027,1792
253,254.0,Jake LaRavia,23.1,MEM,"SF,PF",1618.7642986685823,2444
254,255.0,Jarred Vanderbilt,25.7,LAL,PF,1610.2848655978432,1987
255,256.0,Lonzo Ball,27.1,CHI,PG,1601.8386202169731,1798
256,257.0,Ziaire Williams,23.2,BKN,"SG,SF",1593.4253037515757,2280
257,258.0,Ja'Kobe Walter,20.2,TOR,SG,1585.0446604421213,2723
258,259.0,Pacome Dadiet,19.3,NY,SF,1576.6964374972797,2732
259,260.0,Baylor Scheierman,24.2,BOS,SG,1568.3803850481854,2721
260,261.0,AJ Johnson,22.0,MIL,SG,1560.0962561035558,2738
261,262.0,T.J. McConnell,32.7,IND,PG,1551.8438065056744,1602
262,263.0,Ben Sheppard,23.4,IND,"SG,SF",1543.6227948872074,2562
263,264.0,Jabari Walker,22.3,POR,"SF,PF",1535.4329826288558,2477
264,265.0,Jose Alvarado,26.6,NO,PG,1527.274133817784,2322
265,266.0,Goga Bitadze,25.4,ORL,C,1519.1460152068576,2010
266,267.0,Saddiq Bey,25.6,WAS,"SF,PF",1511.0483961746213,2131
267,268.0,Kris Murray,24.3,POR,"SF,PF",1502.9810486860442,2587
268,269.0,Russell Westbrook,36.0,DEN,PG,1494.9437472539794,1434
269,270.0,Bobby Portis,29.8,MIL,"PF,C",1486.936268901356,1589
270,271.0,AJ Griffin,21.3,HOU,"SF,PF",1478.9583931240632,2448
271,272.0,Luguentz Dort,25.6,OKC,"SG,SF",1471.0099018544988,2095
272,273.0,Jaden Hardy,22.4,DAL,"PG,SG",1463.090579425827,2485
273,274.0,MarJon Beauchamp,24.1,MIL,"SG,SF",1455.2002125368472,2481
274,275.0,Andre Drummond,31.3,PHI,C,1447.338590217534,1131
275,276.0,Brandon Boston Jr,23.0,NO,"SG,SF",1439.505503795188,2292
276,277.0,Neemias Queta,25.4,BOS,C,1431.7007468611937,2302
277,278.0,Kelly Olynyk,33.6,TOR,C,1423.9241152383947,1282
278,279.0,Chris Paul,39.6,SA,PG,1416.1754069490362,1339
279,280.0,Grant Williams,26.0,CHA,"PF,C",1408.4544221832948,2061
280,281.0,Kyle Anderson,31.2,GS,"SF,PF",1400.760963268356,1548
281,282.0,Ulrich Chomche,18.9,TOR,PF,1393.094834638052,2762
282,283.0,Adem Bona,21.7,PHI,C,1385.4558428030375,2749
283,284.0,Eric Gordon,35.9,PHI,"SG,SF",1377.8437963214749,1277
284,285.0,Tim Hardaway Jr.,32.7,DET,"SG,SF",1370.258505770258,1029
285,286.0,Moritz Wagner,27.6,ORL,C,1362.6997837167255,1932
286,287.0,Markelle Fultz,26.5,FA,"PG,SG",1355.1674446908655,1772
287,288.0,Luke Kornet,29.4,BOS,C,1347.6613051580152,1759
288,290.0,Dariq Whitehead,20.3,BKN,"SG,SF",1332.7268999488952,2570
289,291.0,Malik Beasley,28.0,DET,SG,1325.2982766408404,1749
290,292.0,Tyler Kolek,23.7,NY,PG,1317.8951375108463,2742
291,293.0,Xavier Tillman Sr.,25.9,BOS,"PF,C",1310.517308307606,2163
292,294.0,Ajay Mitchell,22.4,OKC,PG,1303.1646165609363,2772
293,295.0,KJ Simpson,22.3,CHA,PG,1295.8368915575556,2751
294,296.0,Bol Bol,25.0,PHO,"PF,C",1288.5339643173393,2105
295,297.0,Larry Nance Jr.,31.9,ATL,C,1281.255667569898,1620
296,298.0,Dario Saric,30.6,DEN,"PF,C",1274.0018357316203,1674
297,299.0,Juan Nunez,20.5,SA,PG,1266.7723048830576,2760
298,300.0,Bones Hyland,24.2,LAC,"PG,SG",1259.5669127466954,2303
299,301.0,Jamal Shead,22.3,TOR,PG,1252.3854986651004,2764
300,302.0,Harrison Barnes,32.5,SA,"SF,PF",1245.2279035794254,1092
301,303.0,Talen Horton-Tucker,24.0,CHI,"PG,SG",1238.093970008278,2043
302,304.0,Jett Howard,21.2,ORL,SF,1230.9835420269171,2591
303,305.0,Kevon Looney,28.8,GS,"PF,C",1223.8964652468148,1598
304,306.0,Craig Porter Jr.,24.8,CLE,"PG,SG",1216.8325867955427,2640
305,308.0,Dante Exum,29.4,DAL,"PG,SG",1202.773820851835,1555
306,309.0,Quentin Grimes,24.6,DAL,"SG,SF",1195.7786350185415,2258
307,310.0,Terrence Shannon Jr.,24.3,MIN,SG,1188.8060507943735,2716
308,311.0,Nick Smith Jr.,20.6,CHA,"PG,SG",1181.8559225969293,2569
309,312.0,Cam Christie,19.3,LAC,SG,1174.9281062458867,2765
310,313.0,Kentavious Caldwell-Pope,31.8,ORL,"SG,SF",1168.0224589450645,1141
311,314.0,Santi Aldama,23.9,MEM,"PF,C",1161.1388392647514,2281
312,315.0,Mike Conley,37.1,MIN,PG,1154.277107124337,1200
313,316.0,Spencer Dinwiddie,31.6,DAL,"PG,SG",1147.4371237751984,1516
314,317.0,Mo Bamba,26.5,LAC,C,1140.6187517838753,1994
315,318.0,Gary Payton II,32.0,GS,"SG,SF",1133.8218550154852,1726
316,319.0,Dalano Banton,25.1,POR,"SG,SF",1127.0462986174352,2290
317,320.0,Trey Alexander,22.6,DEN,SG,1120.2919490033546,2827
318,321.0,Richaun Holmes,31.1,WAS,C,1113.5586738372913,1603
319,322.0,Royce O'Neale,31.5,PHO,"SF,PF",1106.846342018167,1841
320,323.0,Ousmane Dieng,21.5,OKC,"SF,PF",1100.1548236644448,2482
321,324.0,Caleb Houstan,21.9,ORL,"SG,SF",1093.4839900990592,2478
322,325.0,Drew Eubanks,27.8,UTA,C,1086.8337138345669,1951
323,326.0,Josh Richardson,31.2,MIA,"PG,SG",1080.2038685585285,1644
324,327.0,Cody Martin,29.2,CHA,"SG,SF",1073.5943291191145,2030
325,328.0,Dillon Jones,23.1,OKC,SF,1067.0049715109235,2727
326,329.0,Killian Hayes,23.3,BKN,"PG,SG",1060.4356728610328,2182
327,330.0,Bojan Bogdanovic,35.6,BKN,"SF,PF",1053.8863114152373,1522
328,331.0,Josh Okogie,26.2,PHO,"SG,SF",1047.356766524521,1920
329,332.0,Aleksandar Vezenkov,29.3,FA,"SF,PF",1040.8469186317195,
330,333.0,Jalen McDaniels,26.8,SAC,"SF,PF",1034.3566492583814,2027
331,334.0,Josh Minott,22.0,MIN,"SF,PF",1027.8858409918305,2465
332,335.0,Emoni Bates,20.8,CLE,"SG,SF",1021.4343774724256,2593
333,336.0,Duop Reath,28.4,POR,C,1015.0021433809944,2654
334,337.0,Christian Wood,29.2,LAL,"PF,C",1008.5890244264848,1600
335,338.0,Trey Jemison,25.0,NO,C,1002.1949073337564,2681
336,339.0,Vasilije Micic,30.9,CHA,"PG,SG",995.8196798315984,2638
337,340.0,Jalen Hood-Schifino,21.4,LAL,"PG,SG",989.4632306408804,2572
338,341.0,Pat Connaughton,31.9,MIL,"SG,SF",983.1254494629138,1652
339,342.0,Ochai Agbaji,24.6,TOR,"SG,SF",976.8062269679612,2434
340,343.0,Jaylin Williams,22.4,OKC,"PF,C",970.5054547839154,2845
341,344.0,John Konchar,28.7,MEM,"SG,SF",964.2230254851602,2039
342,345.0,Vít Krejcí,24.4,ATL,"SG,SF",957.9588325815675,2185
