Cleaned Name,original_key,data,Unnamed: 0,Rank,Name,Age,Team,Positions,Value
Moussa Diabate,Moussa Diabate,"{'original_key': '2474', 'player_id': '2474', 'sport': 'nba', 'number': 14, 'practice_description': None, 'search_first_name': 'moussa', 'rotowire_id': 5708, 'active': True, 'depth_chart_position': 'C', 'age': 22, 'competitions': [], 'swish_id': 1324359, 'oddsjam_id': '9B215D378490', 'birth_date': '2002-01-21', 'last_name': 'Diabate', 'height': '81', 'status': 'TWO-WAY', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Moussa', 'birth_city': None, 'years_exp': 2, 'sportradar_id': '78dc76b4-a810-4e4a-9418-5cf3fa03582f', 'fantasy_data_id': None, 'depth_chart_order': 3, 'search_full_name': 'moussadiabate', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'IMG Academy (FL)', 'search_last_name': 'diabate', 'news_updated': 1732636842857, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#moussadiabate-NBA-CHA-14', 'college': 'Michigan', 'metadata': {'channel_id': '1124473342351384576'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Moussa Diabate', 'injury_status': None, 'team': 'CHA', 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '210', 'search_rank': 578, 'injury_body_part': None}",205.0,206.0,Moussa Diabaté,22.9,CHA,C,2070.7775850344588
Svi Mykhailiuk,Svi Mykhailiuk,"{'original_key': '1907', 'player_id': '1907', 'sport': 'nba', 'number': 19, 'practice_description': None, 'search_first_name': 'svi', 'rotowire_id': 4457, 'active': True, 'depth_chart_position': 'SG', 'age': 27, 'competitions': [], 'swish_id': 843265, 'oddsjam_id': 'D44ED022E7C7', 'birth_date': '1997-06-10', 'last_name': 'Mykhailiuk', 'height': '79', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['SF', 'SG'], 'first_name': 'Svi', 'birth_city': None, 'years_exp': 6, 'sportradar_id': '8c0929ae-ce3d-47e0-a964-bf6b8d3981ab', 'fantasy_data_id': None, 'depth_chart_order': 4, 'search_full_name': 'svimykhailiuk', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Cherkasy First City Gymnasia (UKR)', 'search_last_name': 'mykhailiuk', 'news_updated': 1732758650427, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#svimykhailiuk-NBA-UTA-19', 'college': 'Kansas', 'metadata': {'channel_id': '1121491264278130688'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Svi Mykhailiuk', 'injury_status': None, 'team': 'UTA', 'position': 'SF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '205', 'search_rank': 500, 'injury_body_part': None}",532.0,604.0,Svi Mykhailiuk,27.5,UTA,"SG,SF",0.0
Michael Gbinije,Michael Gbinije,"{'original_key': '1684', 'player_id': '1684', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'michael', 'rotowire_id': None, 'active': True, 'depth_chart_position': None, 'age': 32, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1992-06-05', 'last_name': 'Gbinije', 'height': '79', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'Michael', 'birth_city': None, 'years_exp': 1, 'sportradar_id': '5c34358e-f11c-4e71-b8e9-da2eb13f9d1f', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'michaelgbinije', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Benedictine College Prep', 'search_last_name': 'gbinije', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#michaelgbinije-NBA-FA', 'college': 'Syracuse', 'metadata': {'channel_id': '1153292745981317120'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Michael Gbinije', 'injury_status': None, 'team': None, 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '200', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Nikola Pekovic,Nikola Pekovic,"{'original_key': '1195', 'player_id': '1195', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'nikola', 'rotowire_id': None, 'active': False, 'depth_chart_position': None, 'age': 38, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1986-01-03', 'last_name': 'Pekovic', 'height': '83', 'status': 'RET', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C'], 'first_name': 'Nikola', 'birth_city': None, 'years_exp': 6, 'sportradar_id': 'ce45bcdc-8ce8-43cd-8039-87164b5abf8a', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'nikolapekovic', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': None, 'search_last_name': 'pekovic', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#nikolapekovic-NBA-FA', 'college': None, 'metadata': {'channel_id': '1153293036801773568'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Nikola Pekovic', 'injury_status': None, 'team': None, 'position': 'C', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '307', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Admiral Schofield,Admiral Schofield,"{'original_key': '2023', 'player_id': '2023', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'admiral', 'rotowire_id': 4854, 'active': True, 'depth_chart_position': None, 'age': 27, 'competitions': [], 'swish_id': 887494, 'oddsjam_id': 'DE7E383D4EBA', 'birth_date': '1997-03-30', 'last_name': 'Schofield', 'height': '77', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Admiral', 'birth_city': None, 'years_exp': 3, 'sportradar_id': 'ddebd1eb-4298-449d-850a-4dd5f84da05c', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'admiralschofield', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Zion-Benton Township (IL)', 'search_last_name': 'schofield', 'news_updated': 1724004325893, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#admiralschofield-NBA-FA', 'college': 'Tennessee', 'metadata': {'channel_id': '1153293169706684416'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Admiral Schofield', 'injury_status': None, 'team': None, 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '241', 'search_rank': 999, 'injury_body_part': None}",434.0,439.0,Admiral Schofield,27.7,FA,"SF,PF",437.9748331613737
Willie Reed,Willie Reed,"{'original_key': '1461', 'player_id': '1461', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'willie', 'rotowire_id': None, 'active': True, 'depth_chart_position': None, 'age': 34, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1990-05-16', 'last_name': 'Reed', 'height': '83', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C'], 'first_name': 'Willie', 'birth_city': None, 'years_exp': 3, 'sportradar_id': 'ab55b5eb-f998-4480-a69b-eacaa7325ff3', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'williereed', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Bishop Miege (KS)', 'search_last_name': 'reed', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#williereed-NBA-FA', 'college': 'Saint Louis', 'metadata': {'channel_id': '1153293004438523904'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Willie Reed', 'injury_status': None, 'team': None, 'position': 'C', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '245', 'search_rank': None, 'injury_body_part': None}",,,,,,,
MarJon Beauchamp,MarJon Beauchamp,"{'original_key': '2481', 'player_id': '2481', 'sport': 'nba', 'number': 3, 'practice_description': None, 'search_first_name': 'marjon', 'rotowire_id': 5564, 'active': True, 'depth_chart_position': 'PG', 'age': 24, 'competitions': [], 'swish_id': 1357744, 'oddsjam_id': '54D4C7A786BA', 'birth_date': '2000-10-12', 'last_name': 'Beauchamp', 'height': '79', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'MarJon', 'birth_city': None, 'years_exp': 2, 'sportradar_id': 'fc036630-debc-44bf-9663-03c3fbd3045c', 'fantasy_data_id': None, 'depth_chart_order': 6, 'search_full_name': 'marjonbeauchamp', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Dream City Christian (AZ)', 'search_last_name': 'beauchamp', 'news_updated': 1732664144646, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#marjonbeauchamp-NBA-MIL-3', 'college': 'Yakima Valley (WA)', 'metadata': {'channel_id': '1113936527563423744'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'MarJon Beauchamp', 'injury_status': None, 'team': 'MIL', 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '199', 'search_rank': 355, 'injury_body_part': None}",273.0,274.0,MarJon Beauchamp,24.1,MIL,"SG,SF",1455.2002125368472
Isaiah Joe,Isaiah Joe,"{'original_key': '2125', 'player_id': '2125', 'sport': 'nba', 'number': 11, 'practice_description': None, 'search_first_name': 'isaiah', 'rotowire_id': 5291, 'active': True, 'depth_chart_position': 'SF', 'age': 25, 'competitions': [], 'swish_id': 1134010, 'oddsjam_id': '60562D4F275B', 'birth_date': '1999-07-02', 'last_name': 'Joe', 'height': '75', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SF', 'SG'], 'first_name': 'Isaiah', 'birth_city': None, 'years_exp': 4, 'sportradar_id': '36d083a5-49ca-42f1-80b7-b78275a8abd9', 'fantasy_data_id': None, 'depth_chart_order': 2, 'search_full_name': 'isaiahjoe', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Northside (AR)', 'search_last_name': 'joe', 'news_updated': 1732816546274, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#isaiahjoe-NBA-OKC-11', 'college': 'Arkansas', 'metadata': {'channel_id': '1113936531191496704'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Isaiah Joe', 'injury_status': None, 'team': 'OKC', 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '165', 'search_rank': 291, 'injury_body_part': None}",197.0,198.0,Isaiah Joe,25.4,OKC,"PG,SG",2156.254617585815
Kristaps Porzingis,Kristaps Porzingis,"{'original_key': '1590', 'player_id': '1590', 'sport': 'nba', 'number': 8, 'practice_description': None, 'search_first_name': 'kristaps', 'rotowire_id': 3669, 'active': True, 'depth_chart_position': 'C', 'age': 29, 'competitions': [], 'swish_id': 877869, 'oddsjam_id': 'FA629BAD3134', 'birth_date': '1995-08-02', 'last_name': 'Porzingis', 'height': '87', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C', 'PF'], 'first_name': 'Kristaps', 'birth_city': None, 'years_exp': 8, 'sportradar_id': '3c5901ef-af1d-441d-aeed-8e0a93cead49', 'fantasy_data_id': None, 'depth_chart_order': 1, 'search_full_name': 'kristapsporzingis', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': None, 'search_last_name': 'porzingis', 'news_updated': 1732637142966, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#kristapsporzingis-NBA-BOS-8', 'college': None, 'metadata': {'channel_id': '1113936513910964224'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Kristaps Porzingis', 'injury_status': None, 'team': 'BOS', 'position': 'C', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '240', 'search_rank': 65, 'injury_body_part': None}",60.0,61.0,Kristaps Porzingis,29.3,BOS,"PF,C",4697.084306406192
Tim Frazier,Tim Frazier,"{'original_key': '1510', 'player_id': '1510', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'tim', 'rotowire_id': 3695, 'active': True, 'depth_chart_position': None, 'age': 34, 'competitions': [], 'swish_id': 513606, 'oddsjam_id': None, 'birth_date': '1990-11-01', 'last_name': 'Frazier', 'height': '73', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG'], 'first_name': 'Tim', 'birth_city': None, 'years_exp': 8, 'sportradar_id': '005948cb-f744-4928-bf7f-d26076717c99', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'timfrazier', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Strake Jesuit (TX)', 'search_last_name': 'frazier', 'news_updated': 1646794224291, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#timfrazier-NBA-FA', 'college': 'Penn State', 'metadata': {'channel_id': '1153292813769658368'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Tim Frazier', 'injury_status': None, 'team': None, 'position': 'PG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '170', 'search_rank': None, 'injury_body_part': None}",,,,,,,
