Cleaned Name,original_key,data,Unnamed: 0,Rank,Name,Age,Team,Positions,Value
Paul Pierce,Paul Pierce,"{'original_key': '1168', 'player_id': '1168', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'paul', 'rotowire_id': None, 'active': False, 'depth_chart_position': None, 'age': 47, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1977-10-13', 'last_name': 'Pierce', 'height': '79', 'status': 'RET', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Paul', 'birth_city': None, 'years_exp': 19, 'sportradar_id': '3f0fe7a4-888a-4564-aa0d-f310b05071bd', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'paulpierce', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Inglewood (CA)', 'search_last_name': 'pierce', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#paulpierce-NBA-FA', 'college': 'Kansas', 'metadata': {'channel_id': '1153292764734050304'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Paul Pierce', 'injury_status': None, 'team': None, 'position': 'SF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '235', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Moses Brown,Moses Brown,"{'original_key': '2100', 'player_id': '2100', 'sport': 'nba', 'number': 3, 'practice_description': None, 'search_first_name': 'moses', 'rotowire_id': 4811, 'active': True, 'depth_chart_position': 'C', 'age': 25, 'competitions': [], 'swish_id': 1134769, 'oddsjam_id': '9429EDA9E051', 'birth_date': '1999-10-13', 'last_name': 'Brown', 'height': '86', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C'], 'first_name': 'Moses', 'birth_city': None, 'years_exp': 4, 'sportradar_id': '355308f5-dbd8-4936-82fd-9a3c5c8e4b0d', 'fantasy_data_id': None, 'depth_chart_order': 3, 'search_full_name': 'mosesbrown', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Archbishop Molloy (NY)', 'search_last_name': 'brown', 'news_updated': 1732500035721, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#mosesbrown-NBA-IND-3', 'college': 'UCLA', 'metadata': {'channel_id': '1149923517387542528'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Moses Brown', 'injury_status': None, 'team': 'IND', 'position': 'C', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '258', 'search_rank': 327, 'injury_body_part': None}",523.0,595.0,Moses Brown,25.1,FA,C,0.0
Mamadi Diakite,Mamadi Diakite,"{'original_key': '2197', 'player_id': '2197', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'mamadi', 'rotowire_id': 5203, 'active': True, 'depth_chart_position': None, 'age': 27, 'competitions': [], 'swish_id': 899858, 'oddsjam_id': 'B904B59F7593', 'birth_date': '1997-01-21', 'last_name': 'Diakite', 'height': '81', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C'], 'first_name': 'Mamadi', 'birth_city': None, 'years_exp': 4, 'sportradar_id': 'c258dbfb-74dc-4222-a07b-f906370e945f', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'mamadidiakite', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Blue Ridge School (VA)', 'search_last_name': 'diakite', 'news_updated': 1728934807307, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#mamadidiakite-NBA-FA', 'college': 'Virginia', 'metadata': {'channel_id': '1113936488321515520'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Mamadi Diakite', 'injury_status': None, 'team': None, 'position': 'C', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '228', 'search_rank': 634, 'injury_body_part': None}",541.0,613.0,Mamadi Diakite,27.8,PHO,PF,0.0
Ben Simmons,Ben Simmons,"{'original_key': '1676', 'player_id': '1676', 'sport': 'nba', 'number': 10, 'practice_description': None, 'search_first_name': 'ben', 'rotowire_id': 3849, 'active': True, 'depth_chart_position': 'PG', 'age': 28, 'competitions': [], 'swish_id': 886391, 'oddsjam_id': 'D5C59A963E8C', 'birth_date': '1996-07-20', 'last_name': 'Simmons', 'height': '82', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'PG', 'SF'], 'first_name': 'Ben', 'birth_city': None, 'years_exp': 6, 'sportradar_id': '318debd7-dab6-4d4e-8849-03c4c701a7c8', 'fantasy_data_id': None, 'depth_chart_order': 2, 'search_full_name': 'bensimmons', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Monteverde Academy (FL)', 'search_last_name': 'simmons', 'news_updated': 1732813854156, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#bensimmons-NBA-BKN-10', 'college': 'LSU', 'metadata': {'channel_id': '1113936501659402240', 'fantasy_positions': 'PG'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Ben Simmons', 'injury_status': None, 'team': 'BKN', 'position': 'PG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '240', 'search_rank': 192, 'injury_body_part': None}",148.0,149.0,Ben Simmons,28.4,BKN,"PG,C",2769.8224207045005
Jakob Poeltl,Jakob Poeltl,"{'original_key': '1718', 'player_id': '1718', 'sport': 'nba', 'number': 19, 'practice_description': None, 'search_first_name': 'jakob', 'rotowire_id': 3870, 'active': True, 'depth_chart_position': 'C', 'age': 29, 'competitions': [], 'swish_id': 844478, 'oddsjam_id': '0869E077A3D0', 'birth_date': '1995-10-15', 'last_name': 'Poeltl', 'height': '84', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C'], 'first_name': 'Jakob', 'birth_city': None, 'years_exp': 8, 'sportradar_id': 'e1b3d3d5-b4b1-481a-b5b9-efe4231f48bf', 'fantasy_data_id': None, 'depth_chart_order': 1, 'search_full_name': 'jakobpoeltl', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': None, 'search_last_name': 'poeltl', 'news_updated': 1732623342771, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#jakobpoeltl-NBA-TOR-19', 'college': 'Utah', 'metadata': {'channel_id': '1113936519657160704'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Jakob Poeltl', 'injury_status': None, 'team': 'TOR', 'position': 'C', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '260', 'search_rank': 115, 'injury_body_part': None}",121.0,122.0,Jakob Poeltl,29.1,TOR,C,3201.263721433313
Kevin Huerter,Kevin Huerter,"{'original_key': '1941', 'player_id': '1941', 'sport': 'nba', 'number': 9, 'practice_description': None, 'search_first_name': 'kevin', 'rotowire_id': 4449, 'active': True, 'depth_chart_position': 'SF', 'age': 26, 'competitions': [], 'swish_id': 944785, 'oddsjam_id': '6238D8537CBE', 'birth_date': '1998-08-27', 'last_name': 'Huerter', 'height': '79', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['SF', 'SG'], 'first_name': 'Kevin', 'birth_city': None, 'years_exp': 6, 'sportradar_id': '858d255e-9a7b-4c7a-aac4-fc7cf3a5f238', 'fantasy_data_id': None, 'depth_chart_order': 2, 'search_full_name': 'kevinhuerter', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Shenendehowa (NY)', 'search_last_name': 'huerter', 'news_updated': 1732590340608, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#kevinhuerter-NBA-SAC-9', 'college': 'Maryland', 'metadata': {'channel_id': '1113936536115609600'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Kevin Huerter', 'injury_status': None, 'team': 'SAC', 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '190', 'search_rank': 184, 'injury_body_part': None}",186.0,187.0,Kevin Huerter,26.3,SAC,"SG,SF",2279.6032142822987
Wayne Ellington,Wayne Ellington,"{'original_key': '1394', 'player_id': '1394', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'wayne', 'rotowire_id': 3015, 'active': True, 'depth_chart_position': None, 'age': 37, 'competitions': [], 'swish_id': 329670, 'oddsjam_id': None, 'birth_date': '1987-11-29', 'last_name': 'Ellington', 'height': '76', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SF', 'SG'], 'first_name': 'Wayne', 'birth_city': None, 'years_exp': 13, 'sportradar_id': '47e00cc4-53ca-453b-993a-0f58279e2a94', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'wayneellington', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'The Episcopal Academy (PA)', 'search_last_name': 'ellington', 'news_updated': 1647899119771, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#wayneellington-NBA-FA', 'college': 'North Carolina', 'metadata': {'channel_id': '1153292833503858688'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Wayne Ellington', 'injury_status': None, 'team': None, 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '207', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Ryan Rollins,Ryan Rollins,"{'original_key': '2463', 'player_id': '2463', 'sport': 'nba', 'number': 13, 'practice_description': None, 'search_first_name': 'ryan', 'rotowire_id': 5668, 'active': True, 'depth_chart_position': 'PG', 'age': 22, 'competitions': [], 'swish_id': 1232221, 'oddsjam_id': 'BE3A265F28F1', 'birth_date': '2002-07-03', 'last_name': 'Rollins', 'height': '75', 'status': 'TWO-WAY', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'Ryan', 'birth_city': None, 'years_exp': 2, 'sportradar_id': 'e8def95a-cdf0-423f-9cac-a3e7e92364db', 'fantasy_data_id': None, 'depth_chart_order': 3, 'search_full_name': 'ryanrollins', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Dakota (MI)', 'search_last_name': 'rollins', 'news_updated': 1732407330205, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#ryanrollins-NBA-MIL-13', 'college': 'Toledo', 'metadata': {'channel_id': '1113936527454371840'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Ryan Rollins', 'injury_status': None, 'team': 'MIL', 'position': 'PG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '180', 'search_rank': 369, 'injury_body_part': None}",470.0,475.0,Ryan Rollins,22.4,MIL,PG,267.8901995996803
Sam Merrill,Sam Merrill,"{'original_key': '2139', 'player_id': '2139', 'sport': 'nba', 'number': 5, 'practice_description': None, 'search_first_name': 'sam', 'rotowire_id': 5254, 'active': True, 'depth_chart_position': 'SG', 'age': 28, 'competitions': [], 'swish_id': 953106, 'oddsjam_id': '566CEDEB3B34', 'birth_date': '1996-05-15', 'last_name': 'Merrill', 'height': '76', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'Sam', 'birth_city': None, 'years_exp': 4, 'sportradar_id': '6b8ed06d-a33f-46ce-b416-647100736df8', 'fantasy_data_id': None, 'depth_chart_order': 3, 'search_full_name': 'sammerrill', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Bountiful (UT)', 'search_last_name': 'merrill', 'news_updated': 1732432832495, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#sammerrill-NBA-CLE-5', 'college': 'Utah State', 'metadata': {'channel_id': '1113936488896135168'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Sam Merrill', 'injury_status': None, 'team': 'CLE', 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '205', 'search_rank': 521, 'injury_body_part': None}",370.0,373.0,Sam Merrill,28.5,CLE,SG,789.5604451838954
L.J. Figueroa,L.J. Figueroa,"{'original_key': '2391', 'player_id': '2391', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'lj', 'rotowire_id': 5459, 'active': True, 'depth_chart_position': None, 'age': 26, 'competitions': [], 'swish_id': 1134662, 'oddsjam_id': None, 'birth_date': '1998-03-28', 'last_name': 'Figueroa', 'height': '78', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['SF'], 'first_name': 'L.J.', 'birth_city': None, 'years_exp': 1, 'sportradar_id': 'd5828a39-cab6-4197-88e9-75094726636f', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'ljfigueroa', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'West Oaks Academy (FL)', 'search_last_name': 'figueroa', 'news_updated': 1665428402602, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#ljfigueroa-NBA-FA', 'college': 'Oregon', 'metadata': {'channel_id': '1153293176887332864'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'L.J. Figueroa', 'injury_status': None, 'team': None, 'position': 'SF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '200', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Josh Harrellson,Josh Harrellson,"{'original_key': '1143', 'player_id': '1143', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'josh', 'rotowire_id': None, 'active': False, 'depth_chart_position': None, 'age': 35, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1989-02-12', 'last_name': 'Harrellson', 'height': '82', 'status': 'RET', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C', 'PF'], 'first_name': 'Josh', 'birth_city': None, 'years_exp': 3, 'sportradar_id': 'e8a19123-81c1-49b4-ac6d-6862e63427c8', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'joshharrellson', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'St. Charles (MO)', 'search_last_name': 'harrellson', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#joshharrellson-NBA-FA', 'college': 'Kentucky', 'metadata': {'channel_id': '1153292431450460160'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Josh Harrellson', 'injury_status': None, 'team': None, 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '275', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Sandro Mamukelashvili,Sandro Mamukelashvili,"{'original_key': '2296', 'player_id': '2296', 'sport': 'nba', 'number': 54, 'practice_description': None, 'search_first_name': 'sandro', 'rotowire_id': 5341, 'active': True, 'depth_chart_position': 'PF', 'age': 25, 'competitions': [], 'swish_id': 1060351, 'oddsjam_id': '9FC0FB04CE9A', 'birth_date': '1999-05-23', 'last_name': 'Mamukelashvili', 'height': '81', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C', 'PF'], 'first_name': 'Sandro', 'birth_city': None, 'years_exp': 3, 'sportradar_id': 'c910f29a-3f6b-4dba-92e9-20137fbdf2c7', 'fantasy_data_id': None, 'depth_chart_order': 2, 'search_full_name': 'sandromamukelashvili', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Montverde Academy (FL)', 'search_last_name': 'mamukelashvili', 'news_updated': 1730859611164, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#sandromamukelashvili-NBA-SAS-54', 'college': 'Seton Hall', 'metadata': {'channel_id': '1113936516930863104'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Sandro Mamukelashvili', 'injury_status': None, 'team': 'SAS', 'position': 'C', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '235', 'search_rank': 423, 'injury_body_part': None}",543.0,615.0,Sandro Mamukelashvili,25.5,SA,PF,0.0
Matas Buzelis,Matas Buzelis,"{'original_key': '2835', 'player_id': '2835', 'sport': 'nba', 'number': 14, 'practice_description': None, 'search_first_name': 'matas', 'rotowire_id': 5938, 'active': True, 'depth_chart_position': 'SF', 'age': 20, 'competitions': [], 'swish_id': 1501940, 'oddsjam_id': None, 'birth_date': '2004-10-13', 'last_name': 'Buzelis', 'height': '81', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Matas', 'birth_city': None, 'years_exp': 0, 'sportradar_id': 'fe7a0b28-a8f9-42ad-b345-0f69d51d365f', 'fantasy_data_id': None, 'depth_chart_order': 3, 'search_full_name': 'matasbuzelis', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Sunrise Christian Academy (KS)', 'search_last_name': 'buzelis', 'news_updated': 1732423831404, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#matasbuzelis-NBA-CHI-14', 'college': None, 'metadata': {'channel_id': '1128504877358522368'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Matas Buzelis', 'injury_status': None, 'team': 'CHI', 'position': 'SF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '197', 'search_rank': 181, 'injury_body_part': None}",146.0,147.0,Matas Buzelis,20.1,CHI,SF,2798.9852015338147
Jaden McDaniels,Jaden McDaniels,"{'original_key': '2135', 'player_id': '2135', 'sport': 'nba', 'number': 3, 'practice_description': None, 'search_first_name': 'jaden', 'rotowire_id': 5221, 'active': True, 'depth_chart_position': 'SF', 'age': 24, 'competitions': [], 'swish_id': 1177013, 'oddsjam_id': 'ED5B1BEF088A', 'birth_date': '2000-09-29', 'last_name': 'McDaniels', 'height': '81', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Jaden', 'birth_city': None, 'years_exp': 4, 'sportradar_id': 'aa5536d2-4d75-43fb-8df3-47fbf99d3b7c', 'fantasy_data_id': None, 'depth_chart_order': 1, 'search_full_name': 'jadenmcdaniels', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Federal Way (WA)', 'search_last_name': 'mcdaniels', 'news_updated': 1732683345786, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#jadenmcdaniels-NBA-MIN-3', 'college': 'Washington', 'metadata': {'channel_id': '1113936503572004864'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Jaden McDaniels', 'injury_status': None, 'team': 'MIN', 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '205', 'search_rank': 154, 'injury_body_part': None}",161.0,162.0,Jaden McDaniels,24.2,MIN,"SF,PF",2589.304575071937
Isaiah Roby,Isaiah Roby,"{'original_key': '2088', 'player_id': '2088', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'isaiah', 'rotowire_id': 4834, 'active': True, 'depth_chart_position': None, 'age': 26, 'competitions': [], 'swish_id': 944969, 'oddsjam_id': None, 'birth_date': '1998-02-03', 'last_name': 'Roby', 'height': '78', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C', 'PF'], 'first_name': 'Isaiah', 'birth_city': None, 'years_exp': 4, 'sportradar_id': 'bde20b39-128b-4224-a36c-e23abc623446', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'isaiahroby', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Dixon (IL)', 'search_last_name': 'roby', 'news_updated': 1697922057040, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#isaiahroby-NBA-FA', 'college': 'Nebraska', 'metadata': {'channel_id': '1153293250648363008'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Isaiah Roby', 'injury_status': None, 'team': None, 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '230', 'search_rank': 999, 'injury_body_part': None}",456.0,461.0,Isaiah Roby,26.8,FA,"PF,C",332.4509570425562
Tomas Satoransky,Tomas Satoransky,"{'original_key': '1682', 'player_id': '1682', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'tomas', 'rotowire_id': 3375, 'active': True, 'depth_chart_position': None, 'age': 33, 'competitions': [], 'swish_id': 659772, 'oddsjam_id': None, 'birth_date': '1991-10-30', 'last_name': 'Satoransky', 'height': '79', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'Tomas', 'birth_city': None, 'years_exp': 6, 'sportradar_id': 'a190e528-a18c-4682-beeb-e0f7360c3e06', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'tomassatoransky', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': None, 'search_last_name': 'satoransky', 'news_updated': 1659105936669, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#tomassatoransky-NBA-FA', 'college': None, 'metadata': {'channel_id': '1153292692839485440'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Tomas Satoransky', 'injury_status': None, 'team': None, 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '210', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Andris Biedrins,Andris Biedrins,"{'original_key': '1355', 'player_id': '1355', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'andris', 'rotowire_id': None, 'active': False, 'depth_chart_position': None, 'age': 38, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1986-04-02', 'last_name': 'Biedrins', 'height': '84', 'status': 'RET', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['C'], 'first_name': 'Andris', 'birth_city': None, 'years_exp': 10, 'sportradar_id': '96b5d418-9825-443f-8e44-ea2c7f4e11a0', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'andrisbiedrins', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Valters Basketball School (LVA)', 'search_last_name': 'biedrins', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#andrisbiedrins-NBA-FA', 'college': None, 'metadata': {'channel_id': '1153292678587240448'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Andris Biedrins', 'injury_status': None, 'team': None, 'position': 'C', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '250', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Brandon Bass,Brandon Bass,"{'original_key': '1288', 'player_id': '1288', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'brandon', 'rotowire_id': None, 'active': False, 'depth_chart_position': None, 'age': 39, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1985-04-30', 'last_name': 'Bass', 'height': '80', 'status': 'RET', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Brandon', 'birth_city': None, 'years_exp': 12, 'sportradar_id': 'd214d3a9-9aaa-4296-bcf0-60a1769d7a70', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'brandonbass', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Capitol (LA)', 'search_last_name': 'bass', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#brandonbass-NBA-FA', 'college': 'LSU', 'metadata': {'channel_id': '1153292319760338944'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Brandon Bass', 'injury_status': None, 'team': None, 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '250', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Chris Livingston,Chris Livingston,"{'original_key': '2612', 'player_id': '2612', 'sport': 'nba', 'number': 7, 'practice_description': None, 'search_first_name': 'chris', 'rotowire_id': 5977, 'active': True, 'depth_chart_position': 'PF', 'age': 21, 'competitions': [], 'swish_id': 1408196, 'oddsjam_id': '9AD05EA5DC25', 'birth_date': '2003-10-15', 'last_name': 'Livingston', 'height': '78', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Chris', 'birth_city': None, 'years_exp': 1, 'sportradar_id': 'cb3ded6d-8874-4b93-8a89-6a6785f6fac0', 'fantasy_data_id': None, 'depth_chart_order': 7, 'search_full_name': 'chrislivingston', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Oak Hill Academy (VA)', 'search_last_name': 'livingston', 'news_updated': 1732295423784, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#chrislivingston-NBA-MIL-7', 'college': 'Kentucky', 'metadata': {'channel_id': '1113936527219490816'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Chris Livingston', 'injury_status': None, 'team': 'MIL', 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '220', 'search_rank': 346, 'injury_body_part': None}",570.0,642.0,Chris Livingston,21.1,MIL,"SF,PF",0.0
D.J. Augustin,D.J. Augustin,"{'original_key': '1017', 'player_id': '1017', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'dj', 'rotowire_id': 2939, 'active': False, 'depth_chart_position': None, 'age': 37, 'competitions': [], 'swish_id': 329524, 'oddsjam_id': None, 'birth_date': '1987-11-10', 'last_name': 'Augustin', 'height': '71', 'status': 'RET', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'D.J.', 'birth_city': None, 'years_exp': 14, 'sportradar_id': 'a18805c2-d746-4d4b-be83-5b96c3bdf6af', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'djaugustin', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Hightower (TX)', 'search_last_name': 'augustin', 'news_updated': 1730663440970, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#djaugustin-NBA-FA', 'college': 'Texas', 'metadata': {'channel_id': '1153293134457753600'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'D.J. Augustin', 'injury_status': None, 'team': None, 'position': 'PG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '183', 'search_rank': 916, 'injury_body_part': None}",,,,,,,
