Name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,birth_city,years_exp,depth_chart_order,height,weight,college,team,position,cleaned_name
Sam Dekker,1623,nba,,True,,30.0,1994-05-06,FA,,5.0,,81.0,230.0,Wisconsin,,PF,Sam Dekker
Tristen Newton,2745,nba,4.0,True,PG,23.0,2001-04-26,TWO-WAY,,0.0,4.0,77.0,190.0,UConn,IND,PG,Tristen Newton
Jae'Sean Tate,2193,nba,8.0,True,SF,29.0,1995-10-28,ACT,,4.0,5.0,77.0,226.0,Ohio State,HOU,SF,Jae'Sean Tate
P.J. Hairston,1517,nba,,False,,31.0,1992-12-24,RET,,2.0,,78.0,230.0,North Carolina,,SG,P.J. Hairston
Bernard James,1396,nba,,False,,39.0,1985-02-07,RET,,3.0,,82.0,240.0,Florida State,,C,Bernard James
Georgios Kalaitzakis,2311,nba,,True,,25.0,1999-01-02,FA,,2.0,,80.0,192.0,,,SF,Georgios Kalaitzakis
Mike Dunleavy,1007,nba,,False,,44.0,1980-09-15,RET,,15.0,,81.0,230.0,Duke,,SG,Mike Dunleavy
Michael Kidd-Gilchrist,1163,nba,,True,,31.0,1993-09-26,FA,,8.0,,78.0,230.0,Kentucky,,SF,Michael Kidd-Gilchrist
Tre Mann,2297,nba,23.0,True,PG,23.0,2001-02-03,ACT,,3.0,2.0,75.0,178.0,Florida,CHA,PG,Tre Mann
Michael Beasley,1370,nba,,True,,35.0,1989-01-09,FA,,11.0,,81.0,235.0,Kansas State,,SF,Michael Beasley
Anthony Duruji,2518,nba,,True,,26.0,1998-07-22,FA,,1.0,,79.0,209.0,Florida,,PF,Anthony Duruji
Nate Robinson,1469,nba,,False,,40.0,1984-05-31,RET,,11.0,,69.0,180.0,Washington,,PG,Nate Robinson
GG Jackson,2603,nba,45.0,True,PF,19.0,2004-12-17,ACT,,1.0,5.0,81.0,210.0,South Carolina,MEM,PF,GG Jackson
Terry Rozier,1632,nba,2.0,True,SG,30.0,1994-03-17,ACT,,9.0,1.0,73.0,190.0,Louisville,MIA,PG,Terry Rozier
Toney Douglas,1084,nba,,True,,38.0,1986-03-16,FA,,8.0,,74.0,185.0,Florida State,,PG,Toney Douglas
Charlie Brown,2052,nba,,True,,27.0,1997-02-02,FA,,3.0,,78.0,199.0,Saint Joseph's,,SF,Charlie Brown
Javonte Smart,2359,nba,,True,,25.0,1999-06-03,FA,,1.0,,76.0,205.0,LSU,,PG,Javonte Smart
Jake Layman,1743,nba,,True,,30.0,1994-03-07,FA,,6.0,,80.0,209.0,Maryland,,SF,Jake Layman
Coty Clarke,1630,nba,,True,,32.0,1992-07-04,FA,,1.0,,79.0,232.0,Arkansas,,PF,Coty Clarke
Jerryd Bayless,1209,nba,,True,,36.0,1988-08-20,FA,,11.0,,75.0,200.0,Arizona,,PG,Jerryd Bayless
Cade Cunningham,2267,nba,2.0,True,PG,23.0,2001-09-25,ACT,,3.0,1.0,78.0,220.0,Oklahoma State,DET,SF,Cade Cunningham
Cristiano Felicio,1588,nba,,True,,32.0,1992-07-07,FA,,5.0,,83.0,270.0,,,C,Cristiano Felicio
Devonte Patterson,2225,nba,,True,,28.0,1996-11-01,FA,,1.0,,79.0,205.0,Prairie View A&M,,SF,Devonte Patterson
Devonte' Graham,1910,nba,,True,,29.0,1995-02-22,FA,,6.0,,73.0,195.0,Kansas,,PG,Devonte' Graham
Tyler Bey,2127,nba,,True,,26.0,1998-02-10,FA,,1.0,,79.0,215.0,Colorado,,SF,Tyler Bey
Max Abmas,2851,nba,,True,,23.0,2001-04-02,FA,,0.0,,71.0,162.0,Texas,,PG,Max Abmas
Kellan Grady,2498,nba,,True,,27.0,1997-09-11,FA,,1.0,,77.0,205.0,Kentucky,,PG,Kellan Grady
Andrew Funk,2661,nba,,True,,25.0,1999-09-21,FA,,1.0,,77.0,200.0,Penn State,,SG,Andrew Funk
Phil Pressey,1293,nba,,True,,33.0,1991-02-17,FA,,3.0,,71.0,175.0,Missouri,,PG,Phil Pressey
Boban Marjanovic,1634,nba,,True,,36.0,1988-08-15,FA,,9.0,,88.0,290.0,,,C,Boban Marjanovic
Alex O'Connell,2550,nba,,True,,25.0,1999-06-02,FA,,1.0,,78.0,185.0,Creighton,,PG,Alex O'Connell
Chris Bosh,1375,nba,,False,,40.0,1984-03-24,RET,,13.0,,83.0,235.0,Georgia Tech,,PF,Chris Bosh
Jacob Wiley,1784,nba,,True,,30.0,1994-09-04,FA,,1.0,,80.0,223.0,Eastern Washington,,PF,Jacob Wiley
Trey Jemison,2681,nba,55.0,True,C,25.0,1999-11-28,TWO-WAY,,1.0,4.0,82.0,260.0,UAB,NOP,C,Trey Jemison
Jonathan Gibson,1732,nba,,True,,37.0,1987-11-08,FA,,2.0,,74.0,185.0,New Mexico State,,PG,Jonathan Gibson
Norman Powell,1637,nba,24.0,True,SF,31.0,1993-05-25,ACT,,9.0,1.0,76.0,215.0,UCLA,LAC,SG,Norman Powell
Ulrich Chomche,2762,nba,22.0,True,C,18.0,2005-12-30,TWO-WAY,,0.0,5.0,82.0,232.0,,TOR,PF,Ulrich Chomche
Anthony Tarke,2370,nba,,True,,26.0,1998-05-27,FA,,1.0,,78.0,220.0,Coppin State,,SG,Anthony Tarke
DeMarcus Cousins,1464,nba,,True,,34.0,1990-08-13,FA,,11.0,,82.0,270.0,Kentucky,,C,DeMarcus Cousins
Will Barton,1447,nba,,True,,33.0,1991-01-06,FA,,10.0,,77.0,181.0,Memphis,,SG,Will Barton
DeMarre Carroll,1251,nba,,False,,38.0,1986-07-27,RET,,11.0,,78.0,215.0,Missouri,,SF,DeMarre Carroll
Dennis Smith,1856,nba,,True,,27.0,1997-11-25,FA,,6.0,,75.0,205.0,North Carolina State,,PG,Dennis Smith
Jermaine Samuels,2553,nba,,True,,26.0,1998-11-13,FA,,1.0,,78.0,230.0,Villanova,,PF,Jermaine Samuels
Lamar Stevens,2167,nba,,True,,27.0,1997-07-09,FA,,3.0,,79.0,230.0,Penn State,,SF,Lamar Stevens
Isaiah Livers,2270,nba,,True,,26.0,1998-07-28,FA,,2.0,,78.0,232.0,Michigan,,SF,Isaiah Livers
Melvin Ajinca,2770,nba,,True,,20.0,2004-06-26,NWT,,0.0,,80.0,218.0,,,PF,Melvin Ajinca
Jordan Walsh,2608,nba,27.0,True,PF,20.0,2004-03-03,ACT,,1.0,4.0,79.0,208.0,Arkansas,BOS,PG,Jordan Walsh
Khem Birch,1876,nba,,True,,32.0,1992-09-28,FA,,6.0,,80.0,233.0,UNLV,,C,Khem Birch
Tariq Owens,2092,nba,,True,,29.0,1995-06-30,FA,,1.0,,82.0,205.0,Texas Tech,,PF,Tariq Owens
Ronnie Brewer,1013,nba,,False,,39.0,1985-03-20,RET,,8.0,,79.0,235.0,Arkansas,,SF,Ronnie Brewer
Ethan Thompson,2352,nba,,True,,25.0,1999-05-04,FA,,1.0,,77.0,195.0,Oregon State,,SG,Ethan Thompson
Braxton Key,2406,nba,,True,,27.0,1997-02-14,FA,,2.0,,80.0,225.0,Virginia,,SF,Braxton Key
D.J. Stewart,2365,nba,,True,,25.0,1999-07-28,FA,,1.0,,78.0,205.0,Mississippi State,,PG,D.J. Stewart
Jerome Robinson,1955,nba,,True,,27.0,1997-02-22,FA,,4.0,,77.0,190.0,Boston College,,SG,Jerome Robinson
Vit Krejci,2185,nba,27.0,True,SG,24.0,2000-06-19,ACT,,3.0,3.0,80.0,195.0,,ATL,SF,Vit Krejci
RayJ Dennis,2860,nba,,True,,23.0,2001-03-30,FA,,0.0,,74.0,185.0,Baylor,,PG,RayJ Dennis
Dion Waiters,1042,nba,,True,,32.0,1991-12-10,FA,,8.0,,75.0,215.0,Syracuse,,SG,Dion Waiters
Kenrich Williams,1946,nba,34.0,True,C,29.0,1994-12-02,ACT,,6.0,2.0,78.0,210.0,TCU,OKC,PF,Kenrich Williams
Jett Howard,2591,nba,13.0,True,SF,21.0,2003-09-14,ACT,,1.0,2.0,78.0,215.0,Michigan,ORL,PG,Jett Howard
Cormac Ryan,2856,nba,,True,,26.0,1998-10-26,FA,,0.0,,77.0,195.0,North Carolina,,PG,Cormac Ryan
Jordan Mickey,1631,nba,,True,,30.0,1994-07-09,FA,,3.0,,80.0,235.0,LSU,,C,Jordan Mickey
Juhann Begarin,2310,nba,,True,,22.0,2002-08-07,FA,,1.0,,77.0,185.0,,,SG,Juhann Begarin
Keljin Blevins,2204,nba,,True,,29.0,1995-11-24,FA,,1.0,,76.0,200.0,Montana State,,SG,Keljin Blevins
Marreese Speights,1093,nba,,True,,37.0,1987-08-04,FA,,10.0,,82.0,255.0,Florida,,PF,Marreese Speights
Carmelo Anthony,1027,nba,,False,,40.0,1984-05-29,RET,,19.0,,79.0,238.0,Syracuse,,SF,Carmelo Anthony
Franz Wagner,2304,nba,22.0,True,SF,23.0,2001-08-27,ACT,,3.0,1.0,82.0,220.0,Michigan,ORL,SF,Franz Wagner
Othyus Jeffers,1196,nba,,False,,39.0,1985-08-05,RET,,3.0,,77.0,200.0,Robert Morris (IL),,SG,Othyus Jeffers
Filip Petrusev,2263,nba,,True,,24.0,2000-04-15,FA,,1.0,,83.0,225.0,Gonzaga,,C,Filip Petrusev
Reggie Evans,1176,nba,,False,,44.0,1980-05-18,RET,,13.0,,80.0,245.0,Iowa,,PF,Reggie Evans
Bilal Coulibaly,2565,nba,0.0,True,SF,20.0,2004-07-26,ACT,,1.0,1.0,80.0,195.0,,WAS,PF,Bilal Coulibaly
Enes Freedom,1353,nba,,True,,32.0,1992-05-20,FA,,11.0,,82.0,250.0,,,C,Enes Freedom
Shake Milton,1900,nba,7.0,True,PG,28.0,1996-09-26,ACT,,6.0,3.0,77.0,205.0,SMU,BKN,SG,Shake Milton
Jorge Gutierrez,1169,nba,,True,,35.0,1988-12-27,FA,,3.0,,75.0,195.0,California,,PG,Jorge Gutierrez
Tevin Brown,2552,nba,,True,,26.0,1998-09-23,FA,,1.0,,77.0,175.0,Murray State,,PG,Tevin Brown
Armel Traore,2754,nba,94.0,True,PF,21.0,2003-01-23,TWO-WAY,,0.0,6.0,81.0,246.0,,LAL,PF,Armel Traore
Chris Smith,2326,nba,,True,,24.0,1999-12-24,FA,,1.0,,81.0,215.0,UCLA,,SF,Chris Smith
Stephen Zimmerman,1751,nba,,True,,28.0,1996-09-09,FA,,1.0,,84.0,240.0,UNLV,,C,Stephen Zimmerman
Au'Diese Toney,2684,nba,,True,,25.0,1999-11-12,FA,,1.0,,78.0,205.0,Arkansas,,PG,Au'Diese Toney
Jeff Withey,1266,nba,,True,,34.0,1990-03-07,FA,,5.0,,84.0,230.0,Kansas,,C,Jeff Withey
Lonnie Walker,1953,nba,,True,,25.0,1998-12-14,FA,,5.0,,76.0,204.0,Miami (FL),,SG,Lonnie Walker
Paul Eboua,2202,nba,,True,,24.0,2000-02-15,FA,,1.0,,80.0,214.0,,,PF,Paul Eboua
Brice Sensabaugh,2581,nba,28.0,True,SF,21.0,2003-10-30,ACT,,1.0,2.0,77.0,235.0,Ohio State,UTA,PF,Brice Sensabaugh
Justin Bibbs,1958,nba,,True,,28.0,1996-01-14,FA,,1.0,,77.0,220.0,Virginia Tech,,SG,Justin Bibbs
Stephen Jackson,1335,nba,,False,,46.0,1978-04-05,RET,,14.0,,80.0,220.0,Butler Community College,,SF,Stephen Jackson
Shavlik Randolph,1414,nba,,False,,41.0,1983-11-24,RET,,8.0,,82.0,236.0,Duke,,PF,Shavlik Randolph
Brook Lopez,1178,nba,11.0,True,C,36.0,1988-04-01,ACT,,16.0,1.0,85.0,282.0,Stanford,MIL,C,Brook Lopez
Bobby Portis,1589,nba,9.0,True,PF,29.0,1995-02-10,ACT,,9.0,2.0,82.0,250.0,Arkansas,MIL,PF,Bobby Portis
Anthony WBlack,2561,nba,,False,,,,Active,,0.0,,79.0,198.0,Razorbacks,,SG,Anthony WBlack
Mangok Mathiang,1781,nba,,True,,32.0,1992-10-08,FA,,1.0,,82.0,230.0,Louisville,,PF,Mangok Mathiang
B.J. Johnson,1944,nba,,True,,28.0,1995-12-21,FA,,2.0,,79.0,200.0,La Salle,,SF,B.J. Johnson
Brandon Rush,1351,nba,,True,,39.0,1985-07-07,FA,,9.0,,78.0,220.0,Kansas,,SG,Brandon Rush
Rob Dillingham,2717,nba,4.0,True,PG,19.0,2005-01-04,ACT,,0.0,2.0,74.0,163.0,Kentucky,MIN,PG,Rob Dillingham
Matt Morgan,2789,nba,,True,,27.0,1997-11-07,FA,,0.0,,74.0,174.0,Cornell,,PG,Matt Morgan
Joe Chealey,1911,nba,,True,,29.0,1995-11-01,FA,,2.0,,76.0,190.0,Charleston,,PG,Joe Chealey
Pablo Prigioni,1034,nba,,False,,47.0,1977-05-17,RET,,4.0,,75.0,185.0,,,PG,Pablo Prigioni
Javante McCoy,2503,nba,,True,,26.0,1998-01-24,FA,,1.0,,77.0,180.0,Boston University,,PG,Javante McCoy
Zach Edey,2718,nba,14.0,True,C,22.0,2002-03-14,ACT,,0.0,2.0,88.0,299.0,Purdue,MEM,C,Zach Edey
Matteo Spagnolo,2484,nba,,True,,21.0,2003-01-10,FA,,1.0,,78.0,194.0,,,PG,Matteo Spagnolo
Luol Deng,1008,nba,,False,,39.0,1985-04-16,RET,,15.0,,81.0,237.0,Duke,,SF,Luol Deng
Willy Hernangomez,1664,nba,,True,,30.0,1994-05-27,FA,,6.0,,83.0,250.0,,,C,Willy Hernangomez
Dalen Terry,2433,nba,25.0,True,SF,22.0,2002-07-12,ACT,,2.0,2.0,79.0,195.0,Arizona,CHI,PG,Dalen Terry
Josh Christopher,2282,nba,8.0,True,PG,22.0,2001-12-08,TWO-WAY,,2.0,6.0,76.0,215.0,Arizona State,MIA,SG,Josh Christopher
Landry Shamet,1899,nba,,True,,27.0,1997-03-13,FA,,5.0,,76.0,190.0,Wichita State,,SG,Landry Shamet
Allen Crabbe,1445,nba,,True,,32.0,1992-04-09,FA,,7.0,,77.0,212.0,California,,SG,Allen Crabbe
Craig Sword,2400,nba,,True,,30.0,1994-01-16,FA,,1.0,,75.0,196.0,Mississippi State,,SG,Craig Sword
Armando Bacot,2858,nba,,True,,24.0,2000-03-06,FA,,0.0,,83.0,240.0,North Carolina,,C,Armando Bacot
Rudy Gay,1317,nba,,False,,38.0,1986-08-17,RET,,17.0,,80.0,250.0,UConn,,PF,Rudy Gay
Marc Gasol,1206,nba,,False,,39.0,1985-01-29,RET,,13.0,,83.0,255.0,,,C,Marc Gasol
Reggie Williams,1435,nba,,True,,38.0,1986-09-14,FA,,7.0,,78.0,205.0,VMI,,SF,Reggie Williams
Donte DiVincenzo,1964,nba,0.0,True,SG,27.0,1997-01-31,ACT,,6.0,2.0,76.0,200.0,Villanova,MIN,SG,Donte DiVincenzo
Alex Morales,2658,nba,,True,,27.0,1997-11-21,FA,,1.0,,78.0,195.0,Wagner,,PG,Alex Morales
Devyn Marble,1587,nba,,True,,32.0,1992-09-21,FA,,2.0,,78.0,200.0,Iowa,,SG,Devyn Marble
Joey Hauser,2628,nba,,True,,25.0,1999-07-17,FA,,1.0,,81.0,230.0,Michigan State,,SF,Joey Hauser
E.J. Liddell,2471,nba,32.0,True,C,23.0,2000-12-18,TWO-WAY,,1.0,4.0,78.0,240.0,Ohio State,CHI,PF,E.J. Liddell
Ike Anigbogu,1767,nba,,True,,26.0,1998-10-16,FA,,2.0,,81.0,252.0,UCLA,,C,Ike Anigbogu
J.J. Barea,1193,nba,,False,,40.0,1984-06-26,RET,,14.0,,70.0,180.0,Northeastern,,PG,J.J. Barea
Marvin Williams,1359,nba,,False,,38.0,1986-06-19,RET,,15.0,,80.0,237.0,North Carolina,,PF,Marvin Williams
Vitor Faverani,1286,nba,,True,,36.0,1988-05-05,FA,,1.0,,83.0,260.0,,,C,Vitor Faverani
Wes Iwundu,1877,nba,,True,,29.0,1994-12-20,FA,,5.0,,78.0,195.0,Kansas State,,SF,Wes Iwundu
Kyle Alexander,2083,nba,,True,,28.0,1996-10-21,FA,,1.0,,83.0,220.0,Tennessee,,PF,Kyle Alexander
Luigi Datome,1137,nba,,True,,37.0,1987-11-27,FA,,2.0,,80.0,215.0,,,SF,Luigi Datome
Tristan Thompson,1045,nba,13.0,True,C,33.0,1991-03-13,ACT,,13.0,3.0,81.0,254.0,Texas,CLE,PF,Tristan Thompson
Robert Woodard,2134,nba,,True,,25.0,1999-09-22,FA,,3.0,,78.0,235.0,Mississippi State,,SF,Robert Woodard
Buddy Hield,1707,nba,7.0,True,SG,31.0,1992-12-17,ACT,,8.0,2.0,76.0,215.0,Oklahoma,GSW,SG,Buddy Hield
Josh Hall,2235,nba,,True,,24.0,2000-10-08,FA,,1.0,,81.0,190.0,,,SF,Josh Hall
Josh Smith,1136,nba,,False,,38.0,1985-12-05,RET,,13.0,,81.0,225.0,,,PF,Josh Smith
Neal Sako,2824,nba,,True,,26.0,1998-08-13,FA,,0.0,,83.0,225.0,,,C,Neal Sako
Aaron Brooks,1242,nba,,True,,39.0,1985-01-14,FA,,10.0,,72.0,161.0,Oregon,,PG,Aaron Brooks
Eric Griffin,1844,nba,,True,,34.0,1990-05-26,FA,,1.0,,80.0,205.0,Campbell,,SF,Eric Griffin
Frank Jackson,1815,nba,,True,,26.0,1998-05-04,FA,,4.0,,75.0,205.0,Duke,,PG,Frank Jackson
Colin Castleton,2642,nba,8.0,True,C,24.0,2000-05-25,TWO-WAY,,1.0,4.0,82.0,250.0,Florida,MEM,PF,Colin Castleton
Paul Pierce,1168,nba,,False,,47.0,1977-10-13,RET,,19.0,,79.0,235.0,Kansas,,SF,Paul Pierce
Moses Brown,2100,nba,3.0,True,C,25.0,1999-10-13,ACT,,4.0,3.0,86.0,258.0,UCLA,IND,C,Moses Brown
Mamadi Diakite,2197,nba,,True,,27.0,1997-01-21,FA,,4.0,,81.0,228.0,Virginia,,C,Mamadi Diakite
Ben Simmons,1676,nba,10.0,True,PG,28.0,1996-07-20,ACT,,6.0,2.0,82.0,240.0,LSU,BKN,PG,Ben Simmons
Jakob Poeltl,1718,nba,19.0,True,C,29.0,1995-10-15,ACT,,8.0,1.0,84.0,260.0,Utah,TOR,C,Jakob Poeltl
Kevin Huerter,1941,nba,9.0,True,SF,26.0,1998-08-27,ACT,,6.0,2.0,79.0,190.0,Maryland,SAC,SG,Kevin Huerter
Wayne Ellington,1394,nba,,True,,37.0,1987-11-29,FA,,13.0,,76.0,207.0,North Carolina,,SG,Wayne Ellington
Ryan Rollins,2463,nba,13.0,True,PG,22.0,2002-07-03,TWO-WAY,,2.0,3.0,75.0,180.0,Toledo,MIL,PG,Ryan Rollins
Sam Merrill,2139,nba,5.0,True,SG,28.0,1996-05-15,ACT,,4.0,3.0,76.0,205.0,Utah State,CLE,SG,Sam Merrill
L.J. Figueroa,2391,nba,,True,,26.0,1998-03-28,FA,,1.0,,78.0,200.0,Oregon,,SF,L.J. Figueroa
Josh Harrellson,1143,nba,,False,,35.0,1989-02-12,RET,,3.0,,82.0,275.0,Kentucky,,PF,Josh Harrellson
Sandro Mamukelashvili,2296,nba,54.0,True,PF,25.0,1999-05-23,ACT,,3.0,2.0,81.0,235.0,Seton Hall,SAS,C,Sandro Mamukelashvili
Matas Buzelis,2835,nba,14.0,True,SF,20.0,2004-10-13,ACT,,0.0,3.0,81.0,197.0,,CHI,SF,Matas Buzelis
Jaden McDaniels,2135,nba,3.0,True,SF,24.0,2000-09-29,ACT,,4.0,1.0,81.0,205.0,Washington,MIN,PF,Jaden McDaniels
Isaiah Roby,2088,nba,,True,,26.0,1998-02-03,FA,,4.0,,78.0,230.0,Nebraska,,PF,Isaiah Roby
Tomas Satoransky,1682,nba,,True,,33.0,1991-10-30,FA,,6.0,,79.0,210.0,,,SG,Tomas Satoransky
Andris Biedrins,1355,nba,,False,,38.0,1986-04-02,RET,,10.0,,84.0,250.0,,,C,Andris Biedrins
Brandon Bass,1288,nba,,False,,39.0,1985-04-30,RET,,12.0,,80.0,250.0,LSU,,PF,Brandon Bass
Chris Livingston,2612,nba,7.0,True,PF,21.0,2003-10-15,ACT,,1.0,7.0,78.0,220.0,Kentucky,MIL,PF,Chris Livingston
D.J. Augustin,1017,nba,,False,,37.0,1987-11-10,RET,,14.0,,71.0,183.0,Texas,,PG,D.J. Augustin
Lavoy Allen,1070,nba,,False,,35.0,1989-02-04,RET,,6.0,,81.0,260.0,Temple,,PF,Lavoy Allen
Josh Huestis,1650,nba,,True,,32.0,1991-12-19,FA,,3.0,,79.0,230.0,Stanford,,SF,Josh Huestis
Jarrett Culver,2034,nba,,True,,25.0,1999-02-20,FA,,3.0,,78.0,195.0,Texas Tech,,SG,Jarrett Culver
Jameer Nelson,1485,nba,,False,,42.0,1982-02-09,RET,,14.0,,72.0,190.0,Saint Joseph's,,PG,Jameer Nelson
Gabriel Lundberg,2409,nba,,True,,29.0,1994-12-04,FA,,1.0,,76.0,203.0,,,SG,Gabriel Lundberg
Ante Zizic,1763,nba,,True,,27.0,1997-01-04,FA,,2.0,,82.0,266.0,,,C,Ante Zizic
Udonis Haslem,1373,nba,,False,,44.0,1980-06-09,RET,,20.0,,79.0,235.0,Florida,,PF,Udonis Haslem
Matt Thomas,2068,nba,,True,,30.0,1994-08-04,FA,,3.0,,75.0,190.0,Iowa State,,SG,Matt Thomas
Jaylin Williams,2845,nba,,True,,24.0,2000-07-26,FA,,0.0,,80.0,245.0,Auburn,,PF,Jaylin Williams
Keisei Tominaga,2828,nba,,True,,23.0,2001-02-01,FA,,0.0,,74.0,178.0,Nebraska,,PG,Keisei Tominaga
James Young,1545,nba,,True,,29.0,1995-08-16,FA,,4.0,,78.0,215.0,Kentucky,,SG,James Young
Chris Silva,2087,nba,,True,,28.0,1996-09-19,FA,,3.0,,80.0,234.0,South Carolina,,PF,Chris Silva
Gabriele Procida,2479,nba,,True,,22.0,2002-06-01,FA,,1.0,,79.0,194.0,,,PG,Gabriele Procida
Blake Wesley,2450,nba,14.0,True,PG,21.0,2003-03-16,ACT,,2.0,3.0,75.0,190.0,Notre Dame,SAS,PG,Blake Wesley
DeMar DeRozan,1321,nba,10.0,True,SF,35.0,1989-08-07,ACT,,15.0,1.0,78.0,220.0,USC,SAC,SG,DeMar DeRozan
Greg Monroe,1135,nba,,True,,34.0,1990-06-04,FA,,10.0,,83.0,265.0,Georgetown,,C,Greg Monroe
Brandin Podziemski,2564,nba,2.0,True,PG,21.0,2003-02-25,ACT,,1.0,2.0,76.0,205.0,Santa Clara,GSW,PG,Brandin Podziemski
Mario Chalmers,1371,nba,,True,,38.0,1986-05-19,FA,,9.0,,74.0,190.0,Kansas,,PG,Mario Chalmers
Glenn Robinson,1505,nba,,True,,30.0,1994-01-08,FA,,7.0,,78.0,222.0,Michigan,,SF,Glenn Robinson
Tyler Smith,2769,nba,21.0,True,PF,20.0,2004-11-02,ACT,,0.0,5.0,83.0,224.0,,MIL,PF,Tyler Smith
Jack Cooley,1556,nba,,True,,33.0,1991-04-12,FA,,2.0,,82.0,274.0,Notre Dame,,C,Jack Cooley
Marshall Plumlee,1666,nba,,True,,32.0,1992-07-14,FA,,1.0,,84.0,250.0,Duke,,C,Marshall Plumlee
Richard Jefferson,1348,nba,,False,,44.0,1980-06-21,RET,,17.0,,79.0,233.0,Arizona,,SF,Richard Jefferson
Sergio Rodriguez,1677,nba,,True,,38.0,1986-06-12,FA,,5.0,,75.0,175.0,,,PG,Sergio Rodriguez
Dean Wade,2008,nba,32.0,True,PF,28.0,1996-11-20,ACT,,5.0,2.0,81.0,228.0,Kansas State,CLE,PF,Dean Wade
Chinanu Onuaku,1703,nba,,True,,28.0,1996-11-01,FA,,2.0,,82.0,245.0,Louisville,,C,Chinanu Onuaku
Isaiah Canaan,1239,nba,,True,,33.0,1991-05-21,FA,,6.0,,72.0,200.0,Murray State,,PG,Isaiah Canaan
Joe Wieskamp,2288,nba,,True,,25.0,1999-08-23,FA,,2.0,,78.0,205.0,Iowa,,SF,Joe Wieskamp
Jared Terrell,1922,nba,,True,,29.0,1995-02-10,FA,,1.0,,75.0,227.0,Rhode Island,,SG,Jared Terrell
Brandon Sampson,1881,nba,,True,,27.0,1997-05-01,FA,,1.0,,77.0,184.0,LSU,,SG,Brandon Sampson
Miles Plumlee,1419,nba,,True,,36.0,1988-09-01,FA,,7.0,,83.0,249.0,Duke,,C,Miles Plumlee
Reid Travis,2689,nba,,True,,29.0,1995-11-25,FA,,1.0,,80.0,238.0,Kentucky,,PF,Reid Travis
Brandon Knight,1389,nba,,True,,32.0,1991-12-02,FA,,9.0,,74.0,182.0,Kentucky,,PG,Brandon Knight
Tari Eason,2447,nba,17.0,True,PF,23.0,2001-05-10,ACT,,2.0,2.0,80.0,217.0,LSU,HOU,PF,Tari Eason
Balsa Koprivica,2269,nba,,True,,24.0,2000-05-01,NWT,,1.0,,85.0,240.0,Florida State,,C,Balsa Koprivica
Luca Vildoza,2252,nba,,True,,29.0,1995-08-11,FA,,1.0,,75.0,190.0,,,PG,Luca Vildoza
Harry Giles,1869,nba,,True,,26.0,1998-04-22,FA,,3.0,,82.0,240.0,Duke,,C,Harry Giles
Jeff Taylor,1149,nba,,True,,35.0,1989-05-23,FA,,3.0,,79.0,225.0,Vanderbilt,,SF,Jeff Taylor
Dexter Dennis,2647,nba,,True,,25.0,1999-02-09,FA,,2.0,,77.0,210.0,Texas A&M,,SG,Dexter Dennis
KZ Okpala,2085,nba,,True,,25.0,1999-04-28,FA,,3.0,,80.0,215.0,Stanford,,PF,KZ Okpala
Alonzo Gee,1056,nba,,True,,37.0,1987-05-29,FA,,8.0,,78.0,225.0,Alabama,,SF,Alonzo Gee
Jahmi'us Ramsey,2162,nba,,True,,23.0,2001-06-09,FA,,2.0,,75.0,190.0,Texas Tech,,SG,Jahmi'us Ramsey
Lorenzo Brown,1109,nba,,True,,34.0,1990-08-26,FA,,5.0,,77.0,189.0,North Carolina State,,PG,Lorenzo Brown
Jaylen Hoard,2099,nba,,True,,25.0,1999-03-30,FA,,2.0,,80.0,216.0,Wake Forest,,PF,Jaylen Hoard
Jaime Jaquez,2583,nba,11.0,True,PF,23.0,2001-02-18,ACT,,1.0,2.0,78.0,225.0,UCLA,MIA,PG,Jaime Jaquez
Patrick Beverley,1237,nba,,True,,36.0,1988-07-12,FA,,12.0,,74.0,180.0,Arkansas,,PG,Patrick Beverley
Cody Williams,2725,nba,5.0,True,SF,20.0,2004-11-20,ACT,,0.0,4.0,79.0,190.0,Colorado,UTA,PF,Cody Williams
Rasual Butler,1071,nba,,False,,45.0,1979-05-23,RET,,13.0,,80.0,215.0,La Salle,,SF,Rasual Butler
Jemerrio Jones,1931,nba,,True,,29.0,1995-04-09,FA,,1.0,,77.0,174.0,New Mexico State,,SF,Jemerrio Jones
Russell Westbrook,1434,nba,4.0,True,PG,36.0,1988-11-12,ACT,,16.0,2.0,76.0,200.0,UCLA,DEN,PG,Russell Westbrook
Sean McDermott,2169,nba,,True,,28.0,1996-11-03,FA,,1.0,,78.0,195.0,Butler,,SF,Sean McDermott
Tristan Vukcevic,2596,nba,0.0,True,C,21.0,2003-03-11,TWO-WAY,,1.0,7.0,83.0,223.0,,WAS,C,Tristan Vukcevic
Obi Toppin,2119,nba,1.0,True,C,26.0,1998-03-04,ACT,,4.0,2.0,81.0,220.0,Dayton,IND,PF,Obi Toppin
Jericho Sims,2257,nba,20.0,True,C,26.0,1998-10-20,ACT,,3.0,2.0,82.0,254.0,Texas,NYK,C,Jericho Sims
Troy Caupain,1993,nba,,True,,29.0,1995-11-29,FA,,1.0,,76.0,210.0,Cincinnati,,SG,Troy Caupain
Jae Crowder,1403,nba,99.0,True,PF,34.0,1990-07-06,ACT,,12.0,2.0,78.0,235.0,Marquette,SAC,PF,Jae Crowder
