Name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,birth_city,years_exp,depth_chart_order,height,weight,college,team,position,cleaned_name
Ryan Anderson,1263,nba,,True,,36.0,1988-05-06,FA,,12.0,,81.0,240.0,California,,PF,Ryan Anderson
Jerel McNeal,1573,nba,,True,,37.0,1987-06-01,FA,,1.0,,75.0,200.0,Marquette,,PG,Jerel McNeal
Deyonta Davis,1694,nba,,True,,27.0,1996-12-02,FA,,3.0,,81.0,237.0,Michigan State,,PF,Deyonta Davis
Miye Oni,2081,nba,,True,,27.0,1997-08-04,FA,,3.0,,77.0,206.0,Yale,,SG,Miye Oni
Jeremy Pargo,2110,nba,,True,,38.0,1986-03-17,FA,,3.0,,74.0,219.0,Gonzaga,,PG,Jeremy Pargo
Arron Afflalo,1482,nba,,False,,39.0,1985-10-15,RET,,11.0,,77.0,210.0,UCLA,,SG,Arron Afflalo
Armoni Brooks,2249,nba,,True,,26.0,1998-06-05,FA,,2.0,,75.0,195.0,Houston,,PG,Armoni Brooks
Breein Tyree,2201,nba,,True,,26.0,1998-01-13,FA,,1.0,,74.0,195.0,Ole Miss,,PG,Breein Tyree
Ian Mahinmi,1061,nba,,False,,38.0,1986-11-05,RET,,12.0,,83.0,262.0,,,C,Ian Mahinmi
Damion Lee,1807,nba,10.0,True,SG,32.0,1992-10-21,ACT,,6.0,5.0,77.0,204.0,Louisville,PHX,SG,Damion Lee
Rayshaun Hammonds,2176,nba,,True,,26.0,1998-11-10,FA,,1.0,,81.0,235.0,Georgia,,SF,Rayshaun Hammonds
Collin Sexton,1892,nba,2.0,True,SG,25.0,1999-01-04,ACT,,6.0,1.0,75.0,190.0,Alabama,UTA,SG,Collin Sexton
Jawun Evans,1838,nba,,True,,28.0,1996-07-26,FA,,1.0,,72.0,190.0,Oklahoma State,,PG,Jawun Evans
Malik Hall,2788,nba,,True,,24.0,2000-07-25,FA,,0.0,,80.0,225.0,Michagan State,,PF,Malik Hall
Jake Toolson,2217,nba,,True,,28.0,1996-03-06,FA,,1.0,,77.0,205.0,BYU,,SG,Jake Toolson
Lamar Patterson,1626,nba,,True,,33.0,1991-08-12,FA,,2.0,,77.0,226.0,Pittsburgh,,SG,Lamar Patterson
Jordan Hawkins,2576,nba,24.0,True,SG,22.0,2002-04-29,ACT,,1.0,2.0,77.0,190.0,UConn,NOP,PG,Jordan Hawkins
Taylor Funk,2870,nba,,True,,,,FA,,0.0,,81.0,220.0,,,PF,Taylor Funk
DeAndre Jordan,1328,nba,6.0,True,C,36.0,1988-07-21,ACT,,16.0,2.0,83.0,265.0,Texas A&M,DEN,C,DeAndre Jordan
Cory Joseph,1298,nba,10.0,True,PG,33.0,1991-08-20,ACT,,13.0,4.0,74.0,200.0,Texas,ORL,PG,Cory Joseph
James Nunnally,1103,nba,,True,,34.0,1990-07-14,FA,,3.0,,79.0,205.0,UC Santa Barbara,,SF,James Nunnally
Troy Williams,1692,nba,,True,,29.0,1994-12-30,FA,,3.0,,79.0,218.0,Indiana,,SF,Troy Williams
Eric Bledsoe,1420,nba,,True,,34.0,1989-12-09,FA,,12.0,,73.0,214.0,Kentucky,,PG,Eric Bledsoe
John Collins,1809,nba,20.0,True,PF,27.0,1997-09-23,ACT,,7.0,1.0,81.0,226.0,Wake Forest,UTA,PF,John Collins
Trendon Watford,2325,nba,9.0,True,PF,24.0,2000-11-09,ACT,,3.0,3.0,80.0,237.0,LSU,BKN,PF,Trendon Watford
Chet Holmgren,2455,nba,7.0,True,PF,22.0,2002-05-01,ACT,,1.0,8.0,85.0,213.0,Gonzaga,OKC,PF,Chet Holmgren
Tyler Ennis,1567,nba,,True,,30.0,1994-08-24,FA,,4.0,,75.0,194.0,Syracuse,,PG,Tyler Ennis
Bennedict Mathurin,2435,nba,0.0,True,SF,22.0,2002-06-19,ACT,,2.0,1.0,78.0,195.0,Arizona,IND,PG,Bennedict Mathurin
James Nnaji,2598,nba,,True,,20.0,2004-08-14,ACT,,1.0,,83.0,226.0,,,C,James Nnaji
Boris Diaw,1297,nba,,False,,42.0,1982-04-16,RET,,14.0,,80.0,250.0,,,PF,Boris Diaw
Santiago Vescovi,2794,nba,,True,,23.0,2001-09-14,FA,,0.0,,75.0,196.0,Tennessee,,PG,Santiago Vescovi
John Holland,1629,nba,,True,,36.0,1988-11-06,FA,,3.0,,77.0,205.0,Boston University,,SG,John Holland
Carlik Jones,2343,nba,,True,,26.0,1997-12-23,FA,,2.0,,72.0,174.0,Louisville,,PG,Carlik Jones
DaRon Holmes,2730,nba,14.0,True,C,22.0,2002-08-15,ACT,,0.0,7.0,81.0,236.0,Dayton,DEN,PF,DaRon Holmes
Tarik Biberovic,2604,nba,,True,,23.0,2001-01-28,FA,,1.0,,79.0,218.0,,,PF,Tarik Biberovic
Kevon Harris,2227,nba,0.0,True,,27.0,1997-06-24,FA,,1.0,,77.0,216.0,Stephen F. Austin,,SG,Kevon Harris
Bobby Brown,1700,nba,,True,,40.0,1984-09-24,FA,,3.0,,74.0,175.0,Cal State-Fullerton,,PG,Bobby Brown
Jose Alvarado,2322,nba,15.0,True,PG,26.0,1998-04-12,ACT,,3.0,8.0,72.0,179.0,Georgia Tech,NOP,PG,Jose Alvarado
Jamuni McNeace,2815,nba,,True,,28.0,1996-03-25,FA,,0.0,,82.0,232.0,Oklahoma,,C,Jamuni McNeace
Jarell Martin,1615,nba,,True,,30.0,1994-05-24,FA,,4.0,,82.0,239.0,LSU,,PF,Jarell Martin
Andrea Bargnani,1028,nba,,False,,39.0,1985-10-26,RET,,10.0,,84.0,245.0,,,C,Andrea Bargnani
Cameron Bairstow,1494,nba,,True,,33.0,1990-12-07,FA,,2.0,,81.0,250.0,New Mexico,,PF,Cameron Bairstow
Chandler Vaudrin,2515,nba,,True,,27.0,1997-06-26,FA,,1.0,,79.0,210.0,Winthrop,,PG,Chandler Vaudrin
Wenyen Gabriel,1985,nba,,True,,27.0,1997-03-26,FA,,4.0,,81.0,205.0,Kentucky,,PF,Wenyen Gabriel
P.J. Tucker,1421,nba,17.0,True,PF,39.0,1985-05-05,NWT,,13.0,7.0,77.0,245.0,Texas,LAC,PF,P.J. Tucker
Lucas Nogueira,1549,nba,,False,,32.0,1992-07-26,RET,,4.0,,84.0,220.0,,,C,Lucas Nogueira
DJ Horne,2806,nba,,True,,24.0,2000-10-31,FA,,0.0,,74.0,180.0,NC State,,PG,DJ Horne
Kyle Mangas,2688,nba,,True,,25.0,1999-04-08,FA,,1.0,,76.0,200.0,Indiana Wesleyan,,PG,Kyle Mangas
Jeff Teague,1253,nba,,True,,36.0,1988-06-10,FA,,12.0,,75.0,195.0,Wake Forest,,PG,Jeff Teague
Nicolas Batum,1449,nba,33.0,True,PF,35.0,1988-12-14,ACT,,16.0,2.0,80.0,230.0,,LAC,SF,Nicolas Batum
Isaiah Whaley,2517,nba,,True,,26.0,1998-03-26,FA,,1.0,,81.0,225.0,UConn,,PF,Isaiah Whaley
Caleb Homesley,2232,nba,,True,,28.0,1996-11-27,FA,,1.0,,78.0,205.0,Liberty,,SG,Caleb Homesley
Josh Reaves,2089,nba,,True,,27.0,1997-06-04,FA,,1.0,,76.0,214.0,Penn State,,SG,Josh Reaves
Chauncey Billups,1130,nba,,False,,48.0,1976-09-25,RET,,17.0,,75.0,210.0,Colorado,,PG,Chauncey Billups
Chuck Hayes,1313,nba,,False,,41.0,1983-06-11,RET,,11.0,,78.0,240.0,Kentucky,,C,Chuck Hayes
Pete Nance,2657,nba,,True,,24.0,2000-02-19,FA,,1.0,,82.0,225.0,North Carolina,,PF,Pete Nance
Leonard Miller,2621,nba,33.0,True,PF,21.0,2003-11-26,ACT,,0.0,4.0,82.0,220.0,,MIN,SF,Leonard Miller
